Sl.No,Authors,Year of publication,Primary affiliation of primary author,Title of article,Name of Publication/Journal,Subdomain,Disease Name,Type of Evidence Source,Research Aim,Research Problem,AI Objective,AI Methodology,AI Method Details,AI Method Type,Is software publicly released?,Software License,Virology AI task addressed,Type of Underlying Data,Dataset Name,Was Performance Measured,How was Performance measured and What was measured?,Performance Metrics,Performance score,
8,"Zhou X, Song S, Zhang Y, Hou Z.",2023,"School of Public Health, Fudan University, Shanghai, China.",Deep Learning Analysis of COVID-19 Vaccine Hesitancy and Confidence Expressed on Twitter in 6 High-Income Countries: Longitudinal Observational Study,J Med Internet Res,Respiratory Virology,['SARS-CoV-2'],"Observational Study, Journal Article, Research Support, Non-U.S. Gov't","Track the temporal and spatial distribution of COVID-19 vaccine hesitancy and confidence expressed on Twitter during the entire pandemic period, specifically in six major English-speaking high-income countries (United States, United Kingdom, Australia, New Zealand, Canada, and Ireland).","Despite the availability of effective COVID-19 vaccines, rising vaccine hesitancy and declining public confidence remain significant barriers to pandemic control, highlighting the need for scalable, real-time approaches such as deep learning-based social media monitoring to track and understand evolving public sentiment across regions and time.","To automatically detect and monitor COVID-19 vaccine hesitancy and confidence expressed in tweets using deep learning models, enabling real-time, large-scale, and geographically resolved analysis of public attitudes across six English-speaking countries during the pandemic.","The study collected 5.2 million English-language tweets related to COVID-19 vaccination (Jan 2020–June 2022) from six English-speaking countries using TweetScraper. A separate classification model (model type not specified) was used to filter out non-human tweets, achieving a precision of 0.89 and F1-score of 0.86. Then a domain-specific deep learning model, COVID-Twitter-BERT (CT-BERT), pretrained on 160 million COVID-related tweets, was fine-tuned using 8,073 manually annotated tweets labeled based on the WHO vaccine hesitancy framework. The model was trained to classify tweets into four categories.","COVID-Twitter-BERT (CT-BERT), a transformer-based deep learning model pretrained on 160 million COVID-related tweets, was further fine-tuned using a manually annotated dataset of 8,073 tweets specifically labeled according to the World Health Organization’s vaccine hesitancy framework. Each tweet was independently annotated by two annotators, with disagreements resolved by a third annotator to ensure labeling accuracy. The dataset was divided into training (80%), validation (10%), and test (10%) sets for model fine-tuning and evaluation. This fine-tuning enabled classification into four key categories: intent to accept or reject vaccination, and belief in vaccine effectiveness or unsafety. The fine-tuned CT-BERT model achieved strong performance across categories (F1-scores ranging from 0.73 to 0.86) and was applied to over 5.2 million English-language tweets collected between January 2020 and June 2022. Tweets were geolocated to six English-speaking countries (United States, United Kingdom, Canada, Australia, New Zealand, and Ireland) and, where possible, to U.S. states. The classified tweets were then used to analyze spatiotemporal trends in vaccine sentiment and explore associations with sociodemographic factors through bivariate and multivariable regression analysis at the U.S. state level.",['Deep Learning - Fine-tuned COVID-Twitter-BERT (CT-BERT)'],https://github.com/digitalepidemiologylab/covid-twitter-bert,MIT License.,Monitoring public sentiment and behavioral hesitancy toward COVID-19 vaccination across countries during the COVID-19 pandemic.,"weet text, timestamps, geolocation (country/state), user profile location","COVID-19 Vaccine-Related English Tweets Dataset (Jan 1, 2020 – June 30, 2022)",Yes,"The dataset was split into training (80%), validation (10%), and test (10%) sets. Model performance was measured on the held-out test set using standard classification metrics precision and F1-score for four sentiment categories: intent to accept vaccination, intent to reject vaccination, belief in vaccine effectiveness, and belief that vaccines are unsafe. The model achieved strong performance across categories, with precision ranging from 0.78 to 0.88 and F1-scores ranging from 0.73 to 0.86.","{'Precision', 'F1-score'}","{""category"": ""Intent to accept COVID-19 vaccination"", ""precision"": 0.88, ""F1-score"": 0.86},
    {""category"": ""Intent to reject COVID-19 vaccination"", ""precision"": 0.78, ""F1-score"": 0.75},
    {""category"": ""Belief that COVID-19 vaccines are effective"", ""precision"": 0.81, ""F1-score"": 0.73},
    {""category"": ""Belief that COVID-19 vaccines are unsafe"", ""precision"": 0.86, ""F1-score"": 0.75}",
9,"Rafique Q, Rehman A, Afghan MS, Ahmad HM, Zafar I, Fayyaz K, Ain Q, Rayan RA, Al-Aidarous KM, Rashid S, Mushtaq G, Sharma R.",2023,"Department of Internal Medicine, Sahiwal Medical College, Sahiwal, 57040, Pakistan. Electronic address: qandeelsawalyar@gmail.com.","Reviewing methods of deep learning for diagnosing COVID-19, its variants and synergistic medicine combinations",Comput Biol Med,Respiratory Virology,['COVID-19'],"Journal Article, Review, Research Support, Non-U.S. Gov't","To review and synthesize the current landscape of deep learning (DL)-based diagnostic and therapeutic approaches for COVID-19 and its variants, with a focus on exploring the integration of DL in various diagnostic modalities and the identification of synergistic drug combinations. ","consolidating existing DL-driven methods, examining their roles across diagnostics and therapeutics, and identifying critical research gaps and future directions.","The objective is to identify key DL approaches used in medical imaging, molecular testing, and synergistic drug prediction, and to evaluate their potential, limitations, and readiness for real-world implementation.","The study conducted an extensive literature survey using biomedical databases such as PubMed, Embase, Cochrane, CNKI, CBM, and Wanfang, employing targeted keywords like COVID-19, SARS-CoV-2 variants, deep learning, and synergistic medicine. The analytical framework is structured around three primary domains: the use of deep learning (DL) in diagnostic imaging (including CT scans, chest X-rays, and radiographs), DL in molecular assays and biosensor-based detection, and DL in predicting synergistic drug combinations. A diverse set of AI models is reviewed, including CNNs, DNNs, GANs, RNNs, LSTMs, and ELMs, alongside advanced frameworks like ComboNet for drug synergy prediction. These models are applied across various domains such as COVID-19 variant identification, complication prediction (e.g., cardiovascular involvement), treatment recommendation, and drug repurposing. The paper performs a thematic synthesis by categorizing AI techniques based on their application areas, data types, and model architectures. It also discusses current challenges, including issues of interpretability, generalizability, and limited data availability. ","Used for image-based diagnosis through CT scans, chest X-rays (CXR), and radiographs to detect COVID-19 and its variants. Capable of identifying pneumonia-like patterns, ground-glass opacities, and infection localization.",[CNN'],No,No,Detection and classification of COVID-19 and its variants from radiographic images.,CT and Chest X-ray (CXR) images, Rafique et.al,No,"Performance evaluation metrics are implied and referenced through secondary literature, but they are not directly presented or measured within this review paper.",Not specified,Not specified,
,,,,,,,,,,,,,"Generalized deep architectures applied to multimodal tasks including clinical prediction, feature extraction, and multi-layered diagnostic analysis.",DNN,,,Risk prediction and identification of biomarkers associated with severe COVID-19 symptoms.,Clinical Data, Rafique et.al,No,"Performance evaluation metrics are implied and referenced through secondary literature, but they are not directly presented or measured within this review paper.",Not specified,Not specified,
,,,,,,,,,,,,,"Employed for synthetic image generation and enhancement of limited radiological datasets, aiding in robust training for variant detection and modeling virus spread.",GAN,,,"Data augmentation, image enhancement for better COVID-19 training and visualization.",CXR and CT image data, Rafique et.al,No,"Performance evaluation metrics are implied and referenced through secondary literature, but they are not directly presented or measured within this review paper.",Not specified,Not specified,
,,,,,,,,,,,,,"Utilized for time-series forecasting, especially for predicting COVID-19 transmission and complications (e.g., cardiovascular issues). RNN variants like GRU, CW-RNN, and LSTM improve accuracy in epidemic modeling.",RNN & LSTM,,,Time series data consisting daily case counts,"COVID-19 transmission forecasting, complications prediction", Rafique et.al,No,"Performance evaluation metrics are implied and referenced through secondary literature, but they are not directly presented or measured within this review paper.",Not specified,Not specified,
,,,,,,,,,,,,,Used in a medication recommendation system for predicting treatment responses in COVID-19 patients with cardiovascular risk. ELM is faster and requires fewer neurons compared to traditional backpropagation networks.,ELM,,,Predicting risk of cardiovascular complications and recommending treatments,Structured EHR data, Rafique et.al,No,"Performance evaluation metrics are implied and referenced through secondary literature, but they are not directly presented or measured within this review paper.",Not specified,Not specified,
,,,,,,,,,,,,,A deep learning architecture that integrates drug molecular structure and target interaction to predict synergistic drug combinations. It uses graph convolutional networks (GCNs) for molecule embedding and a linear model to infer synergy scores.,ComboNet,,,Predicting synergistic combinations of drugs effective against COVID-19.,Molecular graphs, Rafique et.al,No,"Performance evaluation metrics are implied and referenced through secondary literature, but they are not directly presented or measured within this review paper.",Not specified,Not specified,
10,"Chen J, See KC.",2020,"Yong Loo Lin School of Medicine, National University of Singapore, Singapore, Singapore.",Artificial Intelligence for COVID-19: Rapid Review,J Med Internet Res,Respiratory Virology,['SARS-CoV-2'],"Journal Article, Review","To conduct a rapid review of the applications of artificial intelligence (AI) in the context of the COVID-19 pandemic, specifically identifying how AI has been used across healthcare domains, evaluating its benefits and limitations, and highlighting opportunities for further development.","Addressing the gap between the potential of AI in managing COVID-19 and the practical challenges in its implementation, including data limitations, validation issues, usability barriers, and ethical and legal concerns.","To explore and review how AI has been applied to various aspects of the COVID-19 response, including diagnosis, public health, clinical decision-making, and therapeutic discovery.","The study employed a rapid systematic review methodology to evaluate the application of artificial intelligence (AI) in the context of the COVID-19 pandemic. The authors conducted an extensive literature search using PubMed and EMBASE databases for English-language studies published between December 1, 2019, and March 31, 2020, using keywords related to COVID-19 and SARS-CoV-2. Additional articles were identified through reference list checks. Only primary studies that presented new data on AI applications were included, while commentaries and secondary reviews were excluded. The included studies were analyzed using thematic analysis, which grouped AI applications into four main domains: diagnosis, public health, clinical decision-making, and therapeutics. To assess the quality and transparency of reporting, the authors used a modified version of the TRIPOD (Transparent Reporting of a Multivariable Prediction Model for Individual Prognosis or Diagnosis) statement, and evaluated risk of bias using the PROBAST (Prediction model Risk Of Bias ASsessment Tool). The review revealed significant variability in methodological rigor among studies, with poor internal and external validation being common issues. The authors synthesized their findings through narrative discussion and tabular summaries, identifying major strengths and limitations in the current use of AI for COVID-19. Overall, the methodology provided a structured, critical overview of how AI has been deployed in pandemic response, highlighting areas for improvement and future development.","COVNet is a 3D deep convolutional neural network (CNN) framework developed specifically for automatic COVID-19 diagnosis using chest CT scans. It combines both 2D slice-level features and 3D volumetric information from CT scan series to classify patients into COVID-19 positive, community-acquired pneumonia (CAP), or no infection. The network architecture likely includes multiple convolutional layers followed by pooling and fully connected layers. COVNet outputs a probability score for COVID-19 presence. Once trained, it can rapidly analyze each CT scan in under 5 seconds, aiding in high-throughput triage.",COVNet,No,No,Diagnosis of COVID-19 from chest CT scans,chest CT scans ,Chen et.al,Yes,Model's ability to correctly classify COVID-19 cases (true positive rate) and exclude non-COVID cases (true negative rate) was evaluated using sensitivity and specificity metrics.,"{""Sensitivity"", ""Specificity""}","{""Sensitivity: 90%"", ""Specificity: 96%""}",
,,,,,,,,,,,,,"A recurrent neural network (RNN)-based model was developed to simulate the epidemiological trend of COVID-19, trained using prior SARS outbreak data and updated with intervention strategies such as lockdowns. This model accurately predicted case peaks and mirrored real-time trends in Hubei, China, thereby supporting early intervention planning. Another application involved using an artificial neural network (ANN) to predict clinical outcomes (death or recovery) based on demographic data in South Korea. These DL models were valuable in epidemiological modeling and risk stratification, contributing to data-driven policymaking during the pandemic.",Recurrent Neural Network,No,No,COVID-19 outbreak prediction,,,No,,,,
,,,,,,,,,,,,,"The MT-DTI model, based on transformer-based natural language processing, predicted binding affinities between SARS-CoV-2 proteins and approved drugs, identifying atazanavir as a strong inhibitor. Another DL method, Deep Docking, rapidly screened 1.3 billion compounds from the ZINC15 database to identify top potential binders for the main protease (Mpro) of SARS-CoV-2. Additionally, deep learning was integrated with molecular docking to evaluate traditional Chinese medicine compounds, suggesting several herbal candidates for further testing. These DL applications dramatically accelerated in silico drug discovery by prioritizing molecules for laboratory validation and clinical testing.",Transformer based model,Yes,No,COVID-19 therapeutics and drug discovery,target proteins.,Chen et.al,Yes,The model's predictive performance was assessed using metrics such as Mean Squared Error (MSE) and Concordance Index (CI).? Specific numerical details are not provided,,,
,,,,,,,,,,,,,"A DL-based predictive model integrated various clinical parameters (e.g., comorbidities, vital signs, lab results) to assess disease severity and guide early triage decisions. The model outperformed traditional statistical approaches like logistic regression in identifying high-risk individuals, enabling more efficient allocation of ICU beds and medical resources. Another DL-augmented imaging system used chest radiographs to track pulmonary progression, helping clinicians predict which hospitalized patients might deteriorate, thus supporting dynamic care planning.",Deep Learning,No,No,COVID-19 disease severity and early triage decisions guidance,,,No,,,,
,,,,,,,,,,,,,"The system likely uses a CNN-based architecture trained on labeled CT datasets. It excels in identifying characteristic CT abnormalities associated with COVID-19 (e.g., bilateral ground-glass opacities and consolidations), and was able to flag infection even in cases with false-negative RT-PCR results. It is optimized for clinical deployment in real-time scenarios and integrates automated reporting.",InferRead CT Pneumonia,Yes,Proprietary commercial software.,Assisting in the detection of COVID-19 pneumonia,Not disclosed,Chen et.al,Yes,"The paper reported improved diagnostic accuracy, especially in cases where RT-PCR yielded false negatives. However, specific performance metrics (e.g., sensitivity, specificity, AUC) were not provided in the summary of the study. The results were discussed qualitatively (i.e., clinical benefit demonstrated), but quantitative benchmarks or validation datasets were not explicitly mentioned.",,,
,,,,,,,,,,,,,"Deep Docking uses a deep neural network (DNN) regression model trained on a small set of docking scores to predict binding affinities across billions of molecules. This enables prioritization of compounds for detailed docking simulations. The model integrates cheminformatics features and molecular descriptors for training and screening, significantly reducing computational cost while maintaining docking accuracy.",Deep Docking,Yes,Open-source,Virtual screening to identify potential antiviral compounds targeting SARS-CoV-2.,drug-like molecules,ZINC15 database.,Yes,"Performance was assessed by the platform's ability to enrich potential hit compounds and reduce computational resources compared to traditional docking methods. The accuracy of predicted docking scores and the identification of experimentally validated inhibitors were key metrics. The Deep Docking platform achieved up to a 100-fold acceleration in structure-based virtual screening. In a specific application, it enabled the screening of billion-sized chemical libraries without extraordinary computational resources, resulting in significant enrichment of virtual hits without substantial loss of potential drug candidates.",,,
11,"Huang S, Yang J, Fong S, Zhao Q.",2021,"Cancer Centre, Institute of Translational Medicine, Faculty of Health Sciences, University of Macau 999078, Macau SAR, China.",Artificial intelligence in the diagnosis of COVID-19: challenges and perspectives,Int J Biol Sci,Respiratory Virology,['COVID-19'],"Journal Article, Research Support, Non-U.S. Gov't, Review","The aim of this review is to systematically analyze and summarize how machine learning and deep learning techniques have been applied to COVID-19 diagnosis, focusing on their performance, use cases, and integration into clinical workflows.","The rapid spread of COVID-19 overwhelmed healthcare systems, exposing the limitations of traditional diagnostic methods such as RT-PCR, which suffer from delays and high false-negative rates. There is an urgent need for scalable, fast, and accurate diagnostic tools. Although many AI-based models have been developed, their performance, clinical applicability, and limitations remain unclear and scattered across studies."," the review focuses on evaluating and comparing the performance of AI systems reported in the literature, highlighting their diagnostic potential, limitations, and clinical relevance. The paper aims to inform future research by identifying successful strategies and pinpointing challenges such as false-negative diagnoses, limited generalizability, and the need for integration with clinical context and multimodal data.","The AI methodology involves a structured synthesis of machine learning (ML) and deep learning (DL) techniques applied to COVID-19 diagnosis. The authors collected studies through systematic searches across PubMed, Scopus, Google Scholar, and preprint servers (bioRxiv, medRxiv, arXiv), focusing on clinical and radiological data. These included electronic medical records, laboratory indicators, and imaging data such as CT scans, chest X-rays, and lung ultrasounds. The reviewed models employed diverse ML algorithms (e.g., random forest, SVM, gradient boosting) and DL architectures (e.g., ResNet, VGG, Inception, MobileNet, GANs), often utilizing transfer learning or hybrid systems. Data sources were drawn from national databases (e.g., KNHIS), hospital systems, and open repositories like Kaggle and Radiopaedia. The models addressed tasks such as binary and multi-class classification of COVID-19, pneumonia, and normal cases, with some adopting multitask learning for classification, segmentation, and reconstruction. Evaluation was performed using test-train splits or cross-validation, with metrics including accuracy, sensitivity, specificity, AUC, F1-score, and Brier score. Despite high reported performance, limitations such as overfitting, small sample sizes, and limited generalizability were acknowledged, especially for asymptomatic or early-stage detection. Overall, the methodology demonstrates how AI can integrate heterogeneous medical data to support effective and scalable COVID-19 diagnostic solutions.","ResNet50 is a 50-layer deep residual network used to classify multi-view CT images into COVID-19 or other pneumonia. The model was fine-tuned using transfer learning and trained to recognize COVID-specific lung abnormalities. While effective, it showed lower specificity, likely due to overlap in radiological features between COVID-19 and other pneumonias.",ResNet50,https://pytorch.org/vision/main/models.html,No,COVID-19 diagnosis from CT images,Medical Images (CT images),Huang et.al,Yes,Binary classification using a held-out test set. Evaluation was performed using cross-validation and final results reported on an unseen test set.,"{Accuracy,, Sensitivity, Specificity, AUC}","{Accuracy: 76%, Sensitivity: 81.1%, Specificity: 61.5%, AUC: 81.9}",
,,,,,,,,,,,,,"A deeper ResNet architecture (101 layers) used as part of a CNN comparison study. It was fine-tuned on CT images and outperformed other networks in the same evaluation setting. However, such deep architectures may be computationally expensive and require significant GPU memory for training.",ResNet101,https://pytorch.org/vision/main/models.html,No,Binary classification of CT images for COVID-19 detection,Medical Images (CT images),Huang et.al,Yes,"10-fold cross-validation was used, and final results were derived from an aggregated performance across folds.","{ Accuracy, Sensitivity, Specificity, AUC}","{ Accuracy: 99.51%, Sensitivity: 100%, Specificity: 99.02%, AUC: 99.4]",
,,,,,,,,,,,,,Pre-trained CNN models AlexNet and Inception-V4 were applied to CT data. Transfer learning enabled fast convergence and adaptation to the COVID-specific visual patterns. These older architectures may underperform compared to modern CNN variants in complex medical imaging tasks.,AlexNet and Inception-V4,https://pytorch.org/vision/main/models.html,,Binary classification of CT images for COVID-19 detection,Medical Images (CT images),Huang et.al,Yes,"Standard train/test split, performance reported on the test set. Stratified sampling may have been used.","{ Accuracy, Sensitivity, Specificity}","{ Accuracy: 94.74%, Sensitivity: 87.37%, Specificity: 87.45}",
,,,,,,,,,,,,,"Combines Q-deformed entropy-based feature selection with deep learning feature extraction and LSTM classification. The hybrid pipeline improves interpretability and predictive performance. However, it may face overfitting risks due to small dataset size.",QDE-DF (Hybrid),No,No,"Multi-class classification (COVID-19, pneumonia, healthy) from CT",Medical Images (CT images),Huang et.al,Yes,70/30 train-test split. Results averaged over multiple random splits to ensure stability.,{Accuracy},{Accuracy: 99.68%},
,,,,,,,,,,,,,"Multitask learning setup including segmentation, classification, and reconstruction. Combines encoder-decoder CNN with MLP for final classification. Multitask models can be harder to optimize due to conflicting objectives and require large training datasets to generalize well.",Multitask Encoder-Decoder + MLP,No,No,COVID-19 lesion segmentation and diagnosis from CT scans,Medical Images (CT images),Huang et.al,Yes,"Task-specific evaluation for classification (ROC analysis), segmentation (IoU/Dice), and reconstruction (reconstruction loss). Results averaged over 5-fold cross-validation.","{Accuracy, Sensitivity, Specificity,  AUC}","{Accuracy: 86%, Sensitivity: 94%, Specificity: 79%, AUC: 93}",
,,,,,,,,,,,,," Transfer learning with pre-trained CNNs on chest X-rays. Fine-tuning was performed on a 3-class problem: COVID-19, pneumonia, and normal. These models benefit from pretrained weights but may be limited by the size and imbalance of medical datasets."," VGG19, MobileNetV2, Inception, etc.",https://pytorch.org/vision/main/models.html,MIT/Apache (for base models),Diagnosis of COVID-19 and pneumonia from X-rays,X-ray images,Huang et.al,Yes,Cross-validation and held-out test set performance evaluation. Models compared head-to-head.,"{Accuracy, Sensitivity, Specificity}","{Accuracy: 96.78%, Sensitivity: 98.66%, Specificity: 96.46}",
,,,,,,,,,,,,,"GAN used for synthetic data generation; CNNs trained on the augmented dataset for 4-class classification. GAN-based augmentation improves performance with small datasets, but may introduce artifacts or unrealistic samples.","GAN + AlexNet, GoogLeNet, ResNet18",https://pytorch.org/vision/main/models.html,Not specified,"Classification of COVID-19, bacterial pneumonia, viral pneumonia, and normal from X-rays",X-ray images,Huang et.al,Yes, Stratified hold-out test set with model comparison across CNNs. Evaluated using multiple random seeds,"{ Accuracy, Precision}","{ Accuracy: 85.2% (GoogLeNet), Precision: 80.6% (AlexNet)}",
,,,,,,,,,,,,,"Custom CNN based on the YOLO object detection model repurposed for classification of COVID-19 from X-ray images. Heatmap generation helps in visualization. However, YOLO-based classifiers may suffer from sensitivity to hyperparameters and require more tuning.",DarkNet (YOLO-based CNN),Not specified,Not specified,COVID-19 diagnosis (binary and multiclass) using X-rays,X-ray images,Huang et.al,Yes,Split into binary and 3-class classification tasks. Models evaluated with stratified random sampling. Heatmaps used for interpretability.,"{Accuracy, Sensitivity, Specificity, F1-Score}","{Accuracy: 98.08%, Sensitivity: 95.13%, Specificity: 95.3%, F1-Score: 96.51}",
,,,,,,,,,,,,,"Feature maps from multiple CNNs are concatenated to improve representation. The combined vector is used for final classification into three classes. While ensemble features boost accuracy, the model becomes more complex and computationally demanding.",Concatenated CNN,Not specified,Not specified,"Classification of COVID-19, pneumonia, and normal from X-rays",X-ray images,Huang et.al,Yes,Model evaluated on large-scale 3-class classification using stratified hold-out validation. Generalization tested on a separate validation split.,"{Accuracy, Sensitivity, Specificity}","{Accuracy: 99.5%, Sensitivity: 80.53%, Specificity: 99.56}",
12,"Mohanty S, Harun Ai Rashid M, Mridul M, Mohanty C, Swayamsiddha S.",2020,"School of Applied Science, KIIT University, Bhubaneswar, Odisha, India.",Application of Artificial Intelligence in COVID-19 drug repurposing,Diabetes Metab Syndr,Respiratory Virology,['COVID-19'],"Journal Article, Review","To explore and establish how artificial intelligence (AI), particularly deep learning and network medicine techniques, can be systematically applied to accelerate drug repurposing or repositioning for emerging diseases such as COVID-19","The traditional drug discovery pipeline is time-consuming, costly, and has a low success rate, making it unsuitable for urgent public health crises such as the COVID-19 pandemic. While drug repurposing offers a faster alternative by reusing existing drugs, the absence of systematic and scalable methods to screen and evaluate large datasets of candidate drugs hinders timely therapeutic development.","To accelerate and enhance drug repurposing efforts for emerging diseases like COVID-19 by leveraging deep learning and network medicine approaches that integrate biological, clinical, and pharmacological data.","The AI methodology employed in this study involves the integration of diverse biomedical datasets, including repurposed drug databases and open-access chemical repositories, to serve as inputs for AI models. Initially, data on drug properties, clinical trial outcomes, molecular structures, and pharmacological profiles are collected and preprocessed. Machine learning algorithms, including supervised and unsupervised learning techniques, are then applied to identify patterns and predict drug efficacy. In parallel, deep learning models such as convolutional neural networks (CNNs), recurrent neural networks (RNNs), and deep belief networks (DBNs) are utilized to analyze complex and high-dimensional data, such as molecular sequences and drug-target interactions. These models facilitate virtual screening by rapidly evaluating and ranking existing drugs based on their predicted effectiveness against COVID-19. The AI-generated predictions are subsequently validated through available experimental or clinical data, and refined in an iterative manner. This methodology enables accelerated, data-driven identification of potential therapeutic candidates, reducing reliance on time-consuming conventional drug discovery methods.","The study utilizes a combination of machine learning and deep learning techniques to facilitate drug repurposing for COVID-19. Machine learning methods, including supervised learning for classification and regression, are applied to predict drug efficacy based on known input-output relationships. Unsupervised learning techniques such as clustering are used to identify patterns among drugs with similar biological activity or molecular characteristics. In addition, deep learning models particularly convolutional neural networks (CNNs), recurrent neural networks (RNNs), and deep belief networks (DBNs) are employed to process complex, high-dimensional biomedical data. These models analyze drug structures, molecular sequences, and pharmacological profiles to identify candidate drugs with potential antiviral activity. By leveraging these AI techniques, the study aims to accelerate virtual screening and prioritize existing drugs that could be repurposed for treating SARS-CoV-2 infections.",Machine Learning and Deep Learning-based Drug Repurposing Models,No,No,Identification of antiviral drugs effective against SARS-CoV-2 ,Biomedical and Pharmacological Structured Data,Mohanty et.al,No,Not specified,Not specified,Not specified,
13,"Abd-Alrazaq A, Alajlani M, Alhuwail D, Schneider J, Al-Kuwari S, Shah Z, Hamdi M, Househ M.",2020,"Division of Information and Computing Technology, College of Science and Engineering, Hamad Bin Khalifa University, Qatar Foundation, Doha, Qatar.",Artificial Intelligence in the Fight Against COVID-19: Scoping Review,J Med Internet Res,Respiratory Virology,['COVID-19'],"Journal Article, Scoping Review","To explore and systematically review how existing artificial intelligence (AI) technologies have been applied during the COVID-19 pandemic across various public health domains such as diagnosis, treatment development, epidemiological forecasting, patient outcome prediction, and infodemiology by summarizing the AI techniques, data types, and datasets reported in the literature, without proposing or developing new AI methods.","While artificial intelligence (AI) holds great promise for supporting public health efforts during pandemics by enabling predictive insights from large health datasets, its application in the context of COVID-19 has been fragmented and inconsistently documented. Existing literature largely focuses on narrow use cases or lacks systematic assessment of the AI models, techniques, and datasets involved. As a result, there is a lack of comprehensive understanding of how AI has been leveraged across the full spectrum of COVID-19 public health challenges, limiting its potential utility in current and future pandemics."," to understand the scope, purpose, and technical characteristics of AI applications during the pandemic, with a focus on how AI supports public health efforts.","The study conducted a scoping review based on the PRISMA-ScR guidelines to systematically collect and analyze literature on AI applications in the context of COVID-19. Searches were performed across major databases (e.g., MEDLINE, EMBASE, IEEE Xplore, Google Scholar) using terms related to both AI (e.g., machine learning, deep learning) and COVID-19. A total of 82 eligible studies were included after screening titles, abstracts, and full texts. Data were extracted on the purpose of AI use (e.g., diagnosis, drug discovery), type of AI method (e.g., CNN, SVM, RNN), AI branch (machine learning, deep learning, NLP), and dataset characteristics (source, type, size, validation method). A narrative synthesis was used to categorize AI applications, algorithms, platforms (desktop vs. mobile), and dataset details. The methodology ensured independent review by two authors and high interrater reliability through Cohen's kappa scoring.","The study analyzed a wide variety of AI methods used across different COVID-19 tasks. The most commonly used deep learning technique was the Convolutional Neural Network (CNN), primarily applied for diagnostic tasks using radiology images (CT and X-ray). Other deep learning models included Recurrent Neural Networks (RNNs), Autoencoders, Multilayer Perceptrons, and Deep Neural Networks, especially for time-series prediction and sequence analysis. In the realm of traditional machine learning, models such as Support Vector Machines (SVM), Random Forests, Decision Trees, Logistic Regression, Naive Bayes, K-Nearest Neighbors, and Gradient Boosting (AdaBoost) were used for clinical classification tasks like mortality risk prediction and severity assessment. Natural Language Processing (NLP) techniques (e.g., Skip-gram models, Bag-of-Words, and Porter stemming) were employed in fewer studies, mainly for infodemiology—such as raising awareness and synthesizing information from news or public sources. These models were developed and validated using data from various domains including medical imaging, laboratory test results, genomic sequences, clinical symptoms, demographic information, and epidemiological statistics. The models were trained on datasets sourced from public repositories (e.g., NCBI, GitHub, Kaggle), hospitals, government sources, and published literature.","Deep Learning (DL), and Natural Language Processing (NLP) Techniques",No,No,"Diagnosis, Drug and Vaccine Discovery, Host and Reservoir Prediction","Radiology images, biological data, clinical and laboratory data,",Abd-Alrazaq et.al,No,Not specified,Not specified,Not specified,
