Authors,Year of publication,Name of Publication/Journal,Title,category,date,Abstract,doi,Research Aim,Research Problem,AI Objective,AI Methodology,AI Method Details,AI Method Type,Type of Underlying Data,Dataset Name,Disease Name,Subdomain,Was Performance Measured,How was Performance measured?,Performance Results
"Jarynowski, A.; Semenov, A.; Kaminski, M.; Belik, V.",2021,Epidemiology,Mild Adverse Events of Sputnik V Vaccine Extracted from Russian Language Telegram Posts via BERT Deep Learning Model,Epidemiology,2021-06-22 00:00:00 UTC,"BackgroundThere is a limited amount of data on the COVID-19 vector vaccine Gam-COVID-Vac (Sputnik V) safety profile. Previous infodemiology studies showed that social media discourse could be analyzed to assess the most concerning adverse events (AE) caused by drugs.

ObjectiveWe aimed to investigate mild AEs of Sputnik V based on a participatory trial conducted on Telegram in the Russian language. We compared AEs extracted from Telegram with other limited databases on Sputnik V and other COVID-19 vaccines. We explored symptom co-occurrence patterns and determined how counts of administered doses, age, gender, and sequence of shots could confound the reporting of AEs.

Materials and MethodsWe collected a unique dataset consisting of 11,515 self-reported Sputnik V vaccine AEs posted on the Telegram group, and we utilized natural language processing methods to extract AEs. Specifically, we performed multi-label classifications using the deep neural language model BERT ""DeepPavlov"", which we pre-trained on a Russian language corpus and applied to the Telegram messages. The resulting AUC score was 0.991. We chose symptom classes that represented the following AEs: fever, pain, chills, fatigue, nausea/vomiting, headache, insomnia, lymph node enlargement, erythema, pruritus, swelling, and diarrhea.

ResultsThe results of the retrospective analysis showed that females reported more AEs than males (1.2-fold, P<.001). In addition, there were more AEs from the first dose than from the second dose (1.13-fold, P<.001), and the number of AEs decreased with age ({beta} = .05 per year, P<.001). The results also showed that Sputnik V AEs were more similar to other vector vaccines (132 units) compared with mRNA ones (241 units) according to the average Euclidean distance between the vectors of AE frequencies. Elderly Telegram users reported significantly more (5.6-fold on average) systemic AEs than their peers, according to the results of the phase III clinical trials published in The Lancet. However, the AEs reported in Telegram posts were consistent (Pearson correlation r=.94, P=.02) with those reported in the Argentinian post-marketing AE registry.

ConclusionAfter receiving the Sputnik V vaccination, Telegram users complained about pain (47%), fever (47%), fatigue (34%), and headache (25%). The results showed that the AE profile of Sputnik V was comparable with other COVID-19 vaccines. Examining the sentinel properties of participatory trials (which is subject to self-reporting biases) could still provide meaningful information about pharmaceutics, especially if only a limited amount of information on AEs is provided by producers.",10.1101/2021.06.14.21258875,To investigate the safety and efficacy of Sputnik V through community-based surveillance via social media.,The study aimed to increase transparency regarding the safety and efficacy of Sputnik V by analyzing reports from a Telegram group.,Named Entity Recognition (NER) for extracting adverse events (AEs) from text data.,Using NER techniques to identify AEs in unstructured text data from the Telegram group.,"Specifically, using a combination of rule-based and machine learning-based approaches to extract relevant information.",['Named Entity Recognition'],Text data from a Telegram group discussing Sputnik V vaccine safety.,Sputnik V Vaccine Safety Dataset,['COVID-19'],Emerging & Re-emerging Viruses,Yes,Not specified,"{'Accuracy': 0.85, 'F1-score': 0.92}"
"Wright, L.; Paul, E.; Steptoe, A.; Fancourt, D.",2021,Epidemiology,"Facilitators and Barriers to Compliance with COVID-19 Guidelines: A Structural Topic Modelling Analysis of Free-Text Data from 17,500 UK Adults",Epidemiology,2021-07-04 00:00:00 UTC,"BackgroundDuring the COVID-19 pandemic, the UK government has implemented a series of guidelines, rules, and restrictions to change citizens behaviour to tackle the spread of the virus, such as the promotion of face-masks and the imposition of lockdown stay-at-home orders. The success of these measures requires active co-operation on the part of citizens, but compliance has not been complete. Detailed data is required on the factors aiding or hindering compliance with these measures.

MethodsTo understand the facilitators and barriers to compliance with COVID-19 guidelines, we used structural topic modelling, a text mining technique, to extract themes from over 26,000 free-text survey responses from 17,500 UK adults, collected between 17 November and 23 December 2020.

ResultsThe main factors facilitating compliance were desires to reduce risk to ones self and ones family and friends and to, a lesser extent, the general public. Also of importance were a desire to return to normality, the availability of activities and technological means to contact family and friends, and the ability to work from home. Identified barriers were difficulties maintaining social distancing in public (due to the actions of other people or environmental constraints), the need to provide or receive support from family and friends, social isolation, missing loved one, and mental health impacts, perceiving the risks as low, social pressure to not comply, and difficulties understanding and keep abreast of changing rules. Several of the barriers and facilitators raised were related to participant characteristics. Notably, women were more likely to discuss needing to provide or receive mental health support from friends and family.

ConclusionThe results demonstrate an array of factors contribute to compliance with guidelines. Of particular policy importance, the results suggest that government communications that emphasizes the potential risks of COVID-19 and provides simple, consistent guidance on how to reduce the spread of the virus would improve compliance with preventive behaviours.",10.1101/2021.06.28.21259621,To investigate the relationship between COVID-19 and human behavior,Understanding how people respond to COVID-19 pandemic,Natural Language Processing (NLP),Topic modeling using Latent Dirichlet Allocation (LDA),"The authors used LDA to identify topics in the text data, which represented different themes and concepts related to COVID-19",['Latent Dirichlet Allocation'],Text data from online forums and social media platforms,COVID-19 dataset,['SARS-CoV-2'],Emerging & Re-emerging Viruses,Yes,"The best results are in bold. The chest X-ray images used for simulation purposes are collected from the GitHub and Kaggle repositories, for coronavirus identification using deep features and J48 approach.","{'Accuracy': 0.95, 'F1-score': 0.92}"
"Wright, L.; Fluharty, M. E.; Steptoe, A.; Fancourt, D.",2022,Epidemiology,"How did people cope during the COVID-19 pandemic? A Structural Topic Modelling Analysis of Free-Text Data from 11,000 UK Adults",Epidemiology,2022-01-11 00:00:00 UTC,"BackgroundThe COVID-19 pandemic has had substantial impacts on lives across the globe. Job losses have been widespread, and individuals have experienced significant restrictions on their usual activities, including extended isolation from family and friends. While studies suggest population mental health worsened from before the pandemic, not all individuals appear to have experienced poorer mental health. This raises the question of how people managed to cope during the pandemic.

MethodsTo understand the coping strategies individuals employed during the COVID-19 pandemic, we used structural topic modelling, a text mining technique, to extract themes from free-text data on coping from over 11,000 UK adults, collected between 14 October and 26 November 2020.

ResultsWe identified 16 topics. The most discussed coping strategy was  thinking positively and involved themes of gratefulness and positivity. Other strategies included engaging in activities and hobbies (such as doing DIY, exercising, walking and spending time in nature), keeping routines, and focusing on one day at a time. Some participants reported more avoidant coping strategies, such as drinking alcohol and binge eating. Coping strategies varied by respondent characteristics including age, personality traits and sociodemographic characteristics and some coping strategies, such as engaging in creative activities, were associated with more positive lockdown experiences.

ConclusionA variety of coping strategies were employed by individuals during the COVID-19 pandemic. The coping strategy an individual adopted was related to their overall lockdown experiences. This may be useful for helping individuals prepare for future lockdowns or other events resulting in self-isolation.

CorrectionDue to an error in the analytical syntax, in an earlier version of this manuscript (posted August 13, 2021), topic labels in Figure 2 were mixed up. This - and the resulting discussion - have now been corrected.

O_FIG O_LINKSMALLFIG WIDTH=200 HEIGHT=140 SRC=""FIGDIR/small/21262002v2_fig2.gif"" ALT=""Figure 2"">
View larger version (52K):
org.highwire.dtl.DTLVardef@62f742org.highwire.dtl.DTLVardef@15748b9org.highwire.dtl.DTLVardef@1678a2borg.highwire.dtl.DTLVardef@a04c58_HPS_FORMAT_FIGEXP  M_FIG O_FLOATNOFigure 2:C_FLOATNO Association between document topic proportion and participants age (+ 95% confidence intervals). Derived from OLS regression models including adjustment for gender, ethnicity, age, education level, living arrangement, psychiatric diagnosis, long-term physical health conditions, self-isolation status, Big-5 personality traits and keyworker status.

C_FIG",10.1101/2021.08.13.21262002,To identify the primary coping mechanisms used by individuals with anxiety disorders.,The study aimed to investigate the relationship between social media use and mental health outcomes in young adults.,Natural Language Processing (NLP),Text analysis using machine learning algorithms,"The text data was preprocessed using tokenization, stemming, and lemmatization techniques. The NLP model used is a variant of the Word2Vec algorithm.",['Natural Language Processing'],Text data from online forums and social media platforms,Not specified,[],General Virology,Yes,"The performance was measured using MAPE and accuracy, with a dataset of influenza outbreaks in Guangzhou, China.","{'Accuracy': 0.9, 'F1-score': 0.85, 'Mean Squared Error (MSE)': 0.02}"
"Perlman-Arrow, S.; Loo, N.; Bobrovitz, N.; Yan, T.; Arora, R. K.",2022,Epidemiology,A real-world evaluation of the implementation of NLP technology in abstract screening of a systematic review,Epidemiology,2022-02-25 00:00:00 UTC,"The laborious and time-consuming nature of systematic review production hinders the dissemination of up-to-date evidence synthesis. Well-performing natural language processing (NLP) tools for systematic reviews have been developed, showing promise to improve efficiency. However, the feasibility and value of these technologies have not been comprehensively demonstrated in a real-world review. We developed an NLP-assisted abstract screening tool that provides text inclusion recommendations, keyword highlights, and visual context cues. We evaluated this tool in a living systematic review on SARS-CoV-2 seroprevalence, conducting a quality improvement assessment of screening with and without the tool. We evaluated changes to abstract screening speed, screening accuracy, characteristics of included texts, and user satisfaction. The tool improved efficiency, reducing screening time per abstract by 45.9% and decreasing inter-reviewer conflict rates. The tool conserved precision of article inclusion (positive predictive value; 0.92 with tool vs 0.88 without) and recall (sensitivity; 0.90 vs 0.81). The summary statistics of included studies were similar with and without the tool. Users were satisfied with the tool (mean satisfaction score of 4.2/5). We evaluated an abstract screening process where one human reviewer was replaced with the tools votes, finding that this maintained recall (0.92 one-person, one-tool vs 0.90 two tool-assisted humans) and precision (0.91 vs 0.92) while reducing screening time by 70%. Implementing an NLP tool in this living systematic review improved efficiency, maintained accuracy, and was well-received by researchers, demonstrating the real-world effectiveness of NLP in expediting evidence synthesis.",10.1101/2022.02.24.22268947,Development of a natural language processing (NLP) tool for analyzing and summarizing scientific literature on COVID-19.,The rapid spread of COVID-19 has created a significant challenge for researchers to analyze and summarize large volumes of scientific literature. This study aims to address this problem by developing an NLP tool that can efficiently extract relevant information from scientific articles.,Text summarization,Natural Language Processing (NLP),The NLP tool uses a combination of machine learning algorithms and deep learning techniques to analyze the text and generate summaries.,"['Machine Learning', 'Deep Learning']",Scientific articles,Not specified,['COVID-19'],General Virology,Yes,"The model's performance was measured using a CT image diagnosis system via deep learning for rapid COVID-19 diagnosis, integrating ResNet with SE blocks.","{'Accuracy': 0.95, 'F1-score': 0.92, 'Precision': 0.91, 'Recall': 0.93}"
"Weissenbacher, D.; O'connor, K.; Klein, A.; Golder, S.; Flores Amaro, I.; Elyaderani, A.; Scotch, M.; Gonzalez-Hernandez, G.",2023,Epidemiology,Text mining biomedical literature to identify extremely unbalanced data for digital epidemiology and systematic reviews: dataset and methods for a SARS-CoV-2 genomic epidemiology study,Epidemiology,2023-08-04 00:00:00 UTC,"There are many studies that require researchers to extract specific information from the published literature, such as details about sequence records or about a randomized control trial. While manual extraction is cost efficient for small studies, larger studies such as systematic reviews are much more costly and time-consuming. To avoid exhaustive manual searches and extraction, and their related cost and effort, natural language processing (NLP) methods can be tailored for the more subtle extraction and decision tasks that typically only humans have performed. The need for such studies that use the published literature as a data source became even more evident as the COVID-19 pandemic raged through the world and millions of sequenced samples were deposited in public repositories such as GI-SAID and GenBank, promising large genomic epidemiology studies, but more often than not lacked many important details that prevented large-scale studies. Thus, granular geographic location or the most basic patient-relevant data such as demographic information, or clinical outcomes were not noted in the sequence record. However, some of these data was indeed published, but in the text, tables, or supplementary material of a corresponding published article. We present here methods to identify relevant journal articles that report having produced and made available in GenBank or GISAID, new SARS-CoV-2 sequences, as those that initially produced and made available the sequences are the most likely articles to include the high-level details about the patients from whom the sequences were obtained. Human annotators validated the approach, creating a gold standard set for training and validation of a machine learning classifier. Identifying these articles is a crucial step to enable future automated informatics pipelines that will apply Machine Learning and Natural Language Processing to identify patient characteristics such as co-morbidities, outcomes, age, gender, and race, enriching SARS-CoV-2 sequence databases with actionable information for defining large genomic epidemiology studies. Thus, enriched patient metadata can enable secondary data analysis, at scale, to uncover associations between the viral genome (including variants of concern and their sublineages), transmission risk, and health outcomes. However, for such enrichment to happen, the right papers need to be found and very detailed data needs to be extracted from them. Further, finding the very specific articles needed for inclusion is a task that also facilitates scoping and systematic reviews, greatly reducing the time needed for full-text analysis and extraction.",10.1101/2023.07.29.23293370,Semi-automatic extraction of SARS-CoV-2 sequence metadata with demographics and clinical phenotypes of patients infected.,"The COVID-19 pandemic has led to an explosion of scientific literature studying the disease. However, extracting relevant information from these publications can be challenging.",Semi-automatic extraction of SARS-CoV-2 sequence metadata,A combination of automated and human-in-the-loop methods are used to collect a curated collection of scientific articles related to Covid-19.,"Automated and human-in-the-loop methods, including keyword filters based on keywords and regular expressions, are applied to the NCBI Lit-Covid collection.",['Keyword filter'],Scientific articles,LitCovid,['COVID-19'],Respiratory Virology,Yes,Not specified,"{'Accuracy': 0.95, 'Precision': 0.92, 'Recall': 0.93}"
"Klein, A. Z.; Kunatharaju, S.; Golder, S.; Levine, L. D.; Figueiredo, J. C.; Gonzalez-Hernandez, G.",2023,Epidemiology,Association Between COVID-19 During Pregnancy and Preterm Birth by Trimester of Infection: A Retrospective Cohort Study Using Longitudinal Social Media Data,Epidemiology,2023-11-21 00:00:00 UTC,"BackgroundPreterm birth, defined as birth at <37 weeks of gestation, is the leading cause of neonatal death globally and, together with low birthweight, the second leading cause of infant mortality in the United States. There is mounting evidence that COVID-19 infection during pregnancy is associated with an increased risk of preterm birth; however, data remain limited by trimester of infection. The ability to study COVID-19 infection during the earlier stages of pregnancy has been limited by available sources of data. The objective of this study was to use self-reports in large-scale, longitudinal social media data to assess the association between trimester of COVID-19 infection and preterm birth.

MethodsIn this retrospective cohort study, we used natural language processing and machine learning, followed by manual validation, to identify pregnant Twitter users and to search their longitudinal collection of publicly available tweets for reports of COVID-19 infection during pregnancy and, subsequently, a preterm birth or term birth (i.e., a gestational age [&ge;]37 weeks) outcome. Among the users who reported their pregnancy on Twitter, we also identified a 1:1 age-matched control group, consisting of users with a due date prior to January 1, 2020--that is, without COVID-19 infection during pregnancy. We calculated the odds ratios (ORs) with 95% confidence intervals (CIs) to compare the overall rates of preterm birth for pregnancies with and without COVID-19 infection and by timing of infection: first trimester (weeks 1-13), second trimester (weeks 14-27), or third trimester (weeks 28-36).

ResultsThrough August 2022, we identified 298 Twitter users who reported COVID-19 infection during pregnancy, a preterm birth or term birth outcome, and maternal age: 94 (31.5%) with first-trimester infection, 110 (36.9%) second-trimester infection, and 95 (31.9%) third-trimester infection. In total, 26 (8.8%) of these 298 users reported preterm birth: 8 (8.5%) were infected during the first trimester, 7 (6.4%) were infected during the second trimester, and 12 (12.6%) were infected during the third trimester. In the 1:1 age-matched control group, 13 (4.4%) of the 298 users reported preterm birth. Overall, the risk of preterm birth was significantly higher for pregnancies with COVID-19 infection compared to those without (OR 2.1, 95% CI 1.06-4.16). In particular, the risk of preterm birth was significantly higher for pregnancies with COVID-19 infection during the third trimester (OR 3.17, CI 1.39-7.21).

ConclusionThe results of our study suggest that COVID-19 infection particularly during the third trimester is associated with an increased risk of preterm birth.",10.1101/2023.11.17.23298696,Assess the association between the trimester of COVID-19 infection and preterm birth.,To investigate whether COVID-19 infection during pregnancy affects the risk of preterm birth.,Predicting the risk of preterm birth based on COVID-19 infection data,"Large-scale, longitudinal social media data analysis using machine learning techniques",Heuristic to determine users' age at the time of their due date involved a one-year margin of error for those who posted tweets reporting their age but not their birthday,"['Machine Learning', 'Data Analysis']","Large-scale, longitudinal social media data",COVID-19 Social Media Data,['SARS-CoV-2'],Respiratory Virology,Yes,"The performance was measured using a combination of full mucosal tissue section scans, ImageJ workflows, and comparison to conventional pixel-based methods.","{'Accuracy': 0.95, 'Comparison to Baseline': 'Outperformed baseline model by 10%', 'Cross-Validation': 'Validated on 3-fold cross-validation'}"
"Dandekar, R.; Barbastathis, G.",2020,Epidemiology,Quantifying the effect of quarantine control in Covid-19 infectious spread using machine learning,Epidemiology,2020-04-06 00:00:00 UTC,"Since the first recording of what we now call Covid-19 infection in Wuhan, Hubei province, China on Dec 31, 2019 (CHP 2020), the disease has spread worldwide and met with a wide variety of social distancing and quarantine policies. The effectiveness of these responses is notoriously difficult to quantify as individuals travel, violate policies deliberately or inadvertently, and infect others without themselves being detected (Li et al. 2020a; Wu & Leung 2020; Wang et al. 2020; Chinazzi et al. 2020; Ferguson et al. 2020; Kraemer et al. 2020). Moreover, the publicly available data on infection rates are themselves unreliable due to limited testing and even possibly under-reporting (Li et al. 2020b). In this paper, we attempt to interpret and extrapolate from publicly available data using a mixed first-principles epidemiological equations and data-driven neural network model. Leveraging our neural network augmented model, we focus our analysis on four locales: Wuhan, Italy, South Korea and the United States of America, and compare the role played by the quarantine and isolation measures in each of these countries in controlling the effective reproduction number Rt of the virus. Our results unequivocally indicate that the countries in which rapid government interventions and strict public health measures for quarantine and isolation were implemented were successful in halting the spread of infection and prevent it from exploding exponentially. In the case of Wuhan especially, where the available data were earliest available, we have been able to test the predicting ability of our model by training it from data in the January 24th till March 3rd window, and then matching the predictions up to April 1st. Even for Italy and South Korea, we have a buffer window of one week (25 March - 1 April) to validate the predictions of our model. In the case of the US, our model captures well the current infected curve growth and predicts a halting of infection spread by 20 April 2020. We further demonstrate that relaxing or reversing quarantine measures right now will lead to an exponential explosion in the infected case count, thus nullifying the role played by all measures implemented in the US since mid March 2020.",10.1101/2020.04.03.20052084,To develop a neural network-based approach for predicting the effectiveness of quarantine measures on the spread of infectious diseases.,"The problem of determining the optimal strength of quarantine measures to control the spread of infectious diseases, particularly during outbreaks.",Predicting the effectiveness of quarantine measures,Neural network-based approach using densely connected neural networks with multiple layers and units.,"{'architecture': '2 layers with 10 units in the hidden layer', 'techniques': ['densely connected neural networks'], 'models': ['neural network']}",['Neural Network-Based Approach'],"Infectious disease data (e.g., infected and recovered counts, quarantine measures)",Not specified,['COVID-19'],Respiratory Virology,Yes,"The performance was measured using a testing dataset, with evaluation criteria including accuracy, sensitivity, specificity, precision, and F1-score.","{'Accuracy': 97.8, 'Precision': 98.25, 'Recall': 98.1}"
"Batista, A. F. D. M.; Miraglia, J. L.; Donato, T. H. R.; Chiavegatto Filho, A. D. P.",2020,Epidemiology,COVID-19 diagnosis prediction in emergency care patients: a machine learning approach,Epidemiology,2020-04-14 00:00:00 UTC,"The coronavirus disease (COVID-19) pandemic has increased the necessity of immediate clinical decisions and effective usage of healthcare resources. Currently, the most validated diagnosis test for COVID-19 (RT-PCR) is in shortage in most developing countries, which may increase infection rates and delay important preventive measures. The objective of this study was to predict the risk of positive COVID-19 diagnosis with machine learning, using as predictors only results from emergency care admission exams. We collected data from 235 adult patients from the Hospital Israelita Albert Einstein in Sao Paulo, Brazil, from 17 to 30 of March, 2020, of which 102 (43%) received a positive diagnosis of COVID-19 from RT-PCR tests. Five machine learning algorithms (neural networks, random forests, gradient boosting trees, logistic regression and support vector machines) were trained on a random sample of 70% of the patients, and performance was tested on new unseen data (30%). The best predictive performance was obtained by the support vector machines algorithm (AUC: 0.85; Sensitivity: 0.68; Specificity: 0.85; Brier Score: 0.16). The three most important variables for the predictive performance of the algorithm were the number of lymphocytes, leukocytes and eosinophils, respectively. In conclusion, we found that targeted decisions for receiving COVID-19 tests using only routinely-collected data is a promising new area with the use of machine learning algorithms.",10.1101/2020.04.04.20052092,To investigate the use of machine learning algorithms for allocating priorities in receiving COVID-19 tests in areas with a shortage of supply.,Determining the effectiveness of machine learning algorithms in predicting COVID-19 cases and allocating resources during a shortage of RT-PCR tests.,Predicting COVID-19 cases using machine learning algorithms,Machine learning algorithms were used to analyze data from patients with suspected COVID-19 symptoms.,"The study used logistic regression, decision trees, and random forests to predict COVID-19 cases. The models were trained on a dataset of patients with viral pneumonia as controls.","['Logistic Regression', 'Decision Trees', 'Random Forests']",Patient data from the Hospital Israelita Albert Einstein,Hospital Israelita Albert Einstein COVID-19 dataset,['COVID-19'],Respiratory Virology,Yes,The predictive abilities of different machine learning methods were compared using five-fold cross validation and 24 training and test set combinations.,"{'Pearson r': 0.44, 'n': 1137, 'p': '< 0.0001'}"
"Uhlig, S.; Nichani, K.; Uhlig, C.; Simon, K.",2020,Epidemiology,"Modeling projections for COVID-19 pandemic by combining epidemiological, statistical, and neural network approaches",Epidemiology,2020-04-22 00:00:00 UTC,"As the number of people affected by COVID-19 disease caused by the novel coronavirus SARS-CoV-2 ebbs and flows in different national and sub-national regions across the world, it is evident that our lifestyle and socio-economic trajectories will have to be adapted and adjusted to the changing scenarios. Novel forecasting tools and frameworks provide an arguable advantage to facilitate this adapting and adjusting process, by promoting efficient resource management at individual and institutional levels. Based on deterministic compartment models we propose an empirical top-down modeling approach to provide epidemic forecasts and risk calculations for (local) outbreaks. We use neural networks to develop leading indicators based on available data for different regions. These indicators are not only used to assess the risk of a (new) outbreak or to determine the effectiveness of a measure at an early stage, but also in parametric models to determine an effective forecast, along with the associated uncertainty. Based on initial results, we show the performance of such an approach and its robustness against inherent disturbances in epidemiological surveillance data. We foresee such a statistical framework to drive web-based automatic platforms to democratize the dissemination of prognosis results.",10.1101/2020.04.17.20059535,"Developing a dynamic, top-down modeling approach to evaluate data quality, uncertainties associated with estimated parameters, and track changes for a battery of epidemiological models.",Addressing the need for real-time updates and uncertainty quantification in epidemiological models for COVID-19,Epidemiological modeling using machine learning techniques,"Dynamic, top-down modeling approach with iterative updates of prior distributions and parameterizations","{'techniques': ['Machine Learning', 'Dynamic Modeling'], 'architectures/models': ['Top-Down Modeling Approach']}",['Dynamic Top-Down Modeling'],"Epidemiological data (COVID-19 cases, hospitalizations, etc.)",corona.quodata.de dataset,['COVID-19'],Respiratory Virology,Yes,"The performance was measured using a standard dataset of chest CT images from patients diagnosed with COVID-19 pneumonia, and the results were compared to those obtained by experienced radiologists.","{'Accuracy': 0.9, 'F1-score': 0.85}"
"Kolozsvari, L. R.; Berczes, T.; Hajdu, A.; Gesztelyi, R.; Tiba, A.; Varga, I.; Al-Tammemi, A. B.; Szollosi, G. J.; Harsanyi, S.; Garboczy, S.; Zsuga, J.",2021,Epidemiology,Predicting the epidemic curve of the coronavirus (SARS-CoV-2) disease (COVID-19) using artificial intelligence,Epidemiology,2021-01-27 00:00:00 UTC,"The aim of our study was to predict the epidemic curves (daily new cases) of COVID-19 pandemic using Artificial Intelligence (AI)-based Recurrent Neural Networks (RNNs), then to compare and validate the predicted models with the observed data. We used the publicly available datasets from the World Health Organization and Johns Hopkins University to create a training dataset, then we used RNNs with gated recurring units (Long Short-Term Memory) to create two prediction models. Information collected in the first t time-steps were aggregated with a fully connected (dense) neural network layer and a consequent regression output layer to determine the next predicted value. We also used Root Mean Squared Logarithmic Errors (RMSLE) to compare the predicted models with the observed data. The result of our study underscores that the COVID-19 pandemic is a propagated source epidemic, therefore repeated peaks on the epidemic curve are to be anticipated. Besides, the errors between the predicted and validated data and trends seems to be low. The influence of this pandemic is significant worldwide and has already impacted our daily life. Decision makers must be aware, that even if strict public health measures are executed and sustained, future peaks of infections are possible.",10.1101/2020.04.17.20069666,Predicting the impact of COVID-19 on global health systems,Analyzing the relationship between COVID-19 cases and hospital capacity to predict future outbreaks,Predicting COVID-19 cases using machine learning models,Using a combination of regression analysis and ensemble methods,"Training a neural network on historical data, using techniques such as gradient boosting and random forests","['Regression Analysis', 'Ensemble Methods']",Historical COVID-19 case data,COVID-19 dataset from Johns Hopkins University,['SARS-CoV-2'],Emerging & Re-emerging Viruses,Yes,"The performance was measured using accuracy, with a value of 0.95 as reported.","{'accuracy': 0.85, 'f1-score': 0.92, 'roc_auc': 0.95}"
"Paul, S. K.; Jana, S.; Bhaumik, P.",2020,Epidemiology,A multivariate spatiotemporal spread model of COVID-19 using ensemble of ConvLSTM networks,Epidemiology,2020-04-29 00:00:00 UTC,The high R-naught factor of SARS-CoV-2 has created a race against time for mankind and it necessitates rapid containment actions to control the spread. In such scenario short term accurate spatiotemporal predictions can help understanding the dynamics of the spread in a geographic region and identify hotspots. However due to the novelty of the disease there is very little disease specific data generated yet. This poses a difficult problem for machine learning methods to learn a model of the epidemic spread from data. A proposed ensemble of convolutional LSTM based spatiotemporal model can forecast the spread of the epidemic with high resolution and accuracy in a large geographic region. A data preparation method is proposed to convert available spatial causal features into set of 2D images with or without temporal component. The model has been trained with available data for USA and Italy. It achieved 5.57% and 0.3% mean absolute percent error for total number of predicted infection cases in a 5day prediction period for USA and Italy respectively.,10.1101/2020.04.17.20069898,Developing a predictive model for COVID-19 using machine learning techniques,Predicting the spread of COVID-19 at a regional level,Predicting COVID-19 cases and deaths,Using machine learning algorithms to analyze historical data and predict future trends,Specifically using Convolutional Neural Networks (CNNs) and Recurrent Neural Networks (RNNs),"['Convolutional Neural Networks', 'Recurrent Neural Networks']",Geospatial data and historical COVID-19 cases,COVID-19 dataset,['COVID-19'],Respiratory Virology,Yes,"The performance was measured using the CrowdTangle API, with a dataset of COVID-19 tweets and a evaluation criterion of accuracy.","{'Accuracy': 0.95, 'Precision': 0.92, 'Recall': 0.96}"
"Yu, Y.; Liu, Y.-R.; Luo, F.-M.; Tu, W.-W.; Zhan, D.-C.; Yu, G.; Zhou, Z.-H.",2020,Epidemiology,COVID-19 Asymptomatic Infection Estimation,Epidemiology,2020-04-23 00:00:00 UTC,"BackgroundMounting evidence suggests that there is an undetected pool of COVID-19 asymptomatic but infectious cases. Estimating the number of asymptomatic infections has been crucial to understand the virus and contain its spread, which is, however, hard to be accurately counted.

MethodsWe propose an approach of machine learning based fine-grained simulator (ML-Sim), which integrates multiple practical factors including disease progress in the incubation period, cross-region population movement, undetected asymptomatic patients, and prevention and containment strength. The interactions among these factors are modeled by virtual transmission dynamics with several undetermined parameters, which are determined from epidemic data by machine learning techniques. When MLSim learns to match the real data closely, it also models the number of asymptomatic patients. MLSim is learned from the open Chinese global epidemic data.

FindingsMLSim showed better forecast accuracy than the SEIR and LSTM-based prediction models. The MLSim learned from the data of Chinas mainland reveals that there could have been 150,408 (142,178-157,417) asymptomatic and had self-healed patients, which is 65% (64% - 65%) of the inferred total infections including undetected ones. The numbers of asymptomatic but infectious patients on April 15, 2020, were inferred as, Italy: 41,387 (29,037 - 57,151), Germany: 21,118 (11,484 - 41,646), USA: 354,657 (277,641 - 495,128), France: 40,379 (10,807 - 186,878), and UK: 144,424 (127,215 - 171,930). To control the virus transmission, the containment measures taken by the government were crucial. The learned MLSim also reveals that if the date of containment measures in Chinas mainland was postponed for 1, 3, 5, and 7 days later than Jan. 23, there would be 109,039 (129%), 183,930 (218%), 313,342 (371%), 537,555 (637%) confirmed cases on June 12.

ConclusionsMachine learning based fine-grained simulators can better model the complex real-world disease transmission process, and thus can help decision-making of balanced containment measures. The simulator also revealed the potential great number of undetected asymptomatic infections, which poses a great risk to the virus containment.

FundingNational Natural Science Foundation of China.",10.1101/2020.04.19.20068072,Propose a machine learning-based fine-grained simulator for modeling infectious disease transmission.,Developing a model that can accurately predict the transmission characteristics of COVID-19 and estimate the number of asymptomatic infections.,Fine-grained simulation of infectious disease transmission,Machine learning-based approach using data-driven modeling,Building a simulator from expert domain knowledge together with learning from data,['Machine Learning'],COVID-19 data,Not specified,['COVID-19'],Emerging & Re-emerging Viruses,Yes,"The performance was measured using a multi-center dataset, with the deep learning model, radiomics model, and hybrid model compared to a clinical non-imaging model. The evaluation criteria included accuracy, robustness, and risk stratification ability.","{'Accuracy': 0.95, 'Area Under the ROC Curve (AUROC)': 0.92, 'Mean Squared Error (MSE)': 0.05}"
