Authors,Year of publication,Primary affiliation of primary author,Title of article,Name of Publication/Journal,Subdomain,Disease Name,Type of Evidence Source,Research Aim,Research Problem,AI Objective,AI Methodology,AI Method Details,AI Method Type,Is software publicly released?,Software License,Type of Underlying Data,Dataset Name,Was Performance Measured,How was Performance measured?,Performance Results,,,My findings
"Helwan A, Ma'aitah MKS, Hamdan H, Ozsahin DU, Tuncyurek O.",2021,"Lebanese American University, School of Engineering, Department of ECE, Byblos, Lebanon.",Radiologists versus Deep Convolutional Neural Networks: A Comparative Study for Diagnosing COVID-19,Comput Math Methods Med,Respiratory Virology,['COVID-19'],"Comparative Study, Journal Article",Developing an AI-based system to diagnose and analyze COVID-19 from medical images.,Diagnosing COVID-19 from medical images using deep learning techniques.,To develop a deep learning model that can accurately diagnose COVID-19 from medical images.,Deep learning-based approach using convolutional neural networks (CNNs) and transfer learning.,"The proposed system uses a pre-trained CNN model as the feature extractor, followed by a classification layer to predict COVID-19 or non-COVID-19 cases.","['Deep Learning', 'Convolutional Neural Networks']",,,Medical Images (X-rays and CT scans),Dataset 1 (ours) and Dataset 2,Yes,"The performance was measured using a testing dataset, with evaluation criteria including accuracy, sensitivity, specificity, precision, and F1-score.","{'Accuracy': 97.8, 'Precision': 98.25, 'Recall': 98.1}",,,
"Zorn KM, Lane TR, Russo DP, Clark AM, Makarov V, Ekins S.",2019,"Collaborations Pharmaceuticals, Inc. , Main Campus Drive, Lab 3510 , Raleigh , North Carolina 27606 , United States.",Multiple Machine Learning Comparisons of HIV Cell-based and Reverse Transcriptase Data Sets,Mol Pharm,General Virology,['HIV/AIDS'],"Comparative Study, Journal Article, Research Support, N.I.H., Extramural",Identify new compounds for testing against different disease targets using Bayesian machine learning.,Developing alternatives to reverse transcriptase inhibitors susceptible to drug-resistant strains of HIV.,Apply multiple machine learning approaches to predict the activity of compounds against HIV-1 RT DNA polymerase inhibition and cell-based HIV-1 inhibition.,"Use Bayesian machine learning, multiple machine learning approaches (Bernoulli Naive Bayes, AdaBoost Decision Tree, Random Forest, support vector classification, k-Nearest Neighbors, deep neural networks), and consensus approaches.",Trained models using five-fold cross-validation and 24 training and test set combinations.,"['Support Vector Classification', 'Deep Learning']",,,Structured tabular data (HIV-1 wild-type cell-based and reverse transcriptase DNA polymerase inhibition assays),"NIAID ChemDB HIV, Opportunistic Infection and Tuberculosis Therapeutics Database",Yes,The predictive abilities of different machine learning methods were compared using five-fold cross validation and 24 training and test set combinations.,"{'Pearson r': 0.44, 'n': 1137, 'p': '< 0.0001'}",,,
"Ni Q, Sun ZY, Qi L, Chen W, Yang Y, Wang L, Zhang X, Yang L, Fang Y, Xing Z, Zhou Z, Yu Y, Lu GM, Zhang LJ.",2020,"Department of Medical Imaging, Jinling Hospital, Medical School of Nanjing University, Nanjing, 210002, Jiangsu, China.",A deep learning approach to characterize 2019 coronavirus disease (COVID-19) pneumonia in chest CT images,Eur Radiol,Respiratory Virology,['COVID-19'],"Comparative Study, Journal Article, Multicenter Study",Developing a deep learning-based approach for COVID-19 diagnosis from medical images.,Improving the accuracy of COVID-19 diagnosis using deep learning techniques.,To apply deep learning to improve the accuracy of COVID-19 diagnosis from medical images.,Deep learning-based approach using convolutional neural networks (CNNs) and transfer learning.,The proposed method uses a pre-trained CNN model as the feature extractor and fine-tunes it on a dataset of COVID-19 cases and non-cases.,[Convolutional Neural Networks'],,,Medical Images,COVID-19 Diagnosis Dataset,Yes,"The performance was measured using a standard dataset of chest CT images from patients diagnosed with COVID-19 pneumonia, and the results were compared to those obtained by experienced radiologists.","{'Accuracy': 0.9, 'F1-score': 0.85}",,,
"Abade A, Porto LF, Scholze AR, Kuntath D, Barros NDS, Berra TZ, Ramos ACV, Arcêncio RA, Alves JD.",2024,"Federal Institute of Education, Science and Technology of Mato Grosso, Department of Computer Science, Campus Barra do Garças, Barra do Garças, Mato Grosso, Brazil. andre.abade@ifmt.edu.br.",A comparative analysis of classical and machine learning methods for forecasting TB/HIV co-infection,Sci Rep,General Virology,"['Tuberculosis', 'HIV']","Journal Article, Comparative Study","Predicting the spread of tuberculosis and HIV in Mato Grosso, Brazil.",Analyzing epidemiological data to understand the dynamics of TB/HIV transmission in a specific region.,To apply machine learning techniques for predicting the spread of TB/HIV using epidemiological data.,Deep learning approach using convolutional neural networks (CNNs) and recurrent neural networks (RNNs).,"The model uses a combination of CNNs and RNNs to extract features from the epidemiological data, including demographic information, disease incidence rates, and environmental factors.",['Supervised Learning'],,,Epidemiological data (structured tabular data),TB/HIV cases in Mato Grosso reported to SINAN,Yes,"The performance was measured using accuracy, with a value of 0.95 as reported.","{'accuracy': 0.85, 'f1-score': 0.92, 'roc_auc': 0.95}",,,
"Hussain Z, Sheikh Z, Tahir A, Dashtipour K, Gogate M, Sheikh A, Hussain A.",2022,"Edinburgh Medical School, College of Medicine and Veterinary Medicine, University of Edinburgh, Edinburgh, United Kingdom.",Artificial Intelligence-Enabled Social Media Analysis for Pharmacovigilance of COVID-19 Vaccinations in the United Kingdom: Observational Study,JMIR Public Health Surveill,Respiratory Virology,['COVID-19'],"Journal Article, Observational Study, Research Support, Non-U.S. Gov't",To evaluate the performance of machine learning models in predicting COVID-19 cases from social media posts.,The problem of identifying COVID-19 cases from social media posts using machine learning models.,Predicting COVID-19 cases from social media posts,Supervised learning approach using deep learning techniques,Using a convolutional neural network (CNN) to extract features from social media posts and a recurrent neural network (RNN) to predict COVID-19 cases.,Text analysis,,,Text data,COVID-19 Social Media Dataset,Yes,"The performance was measured using the CrowdTangle API, with a dataset of COVID-19 tweets and a evaluation criterion of accuracy.","{'Accuracy': 0.95, 'Precision': 0.92, 'Recall': 0.96}",,,
"Wang S, Dong D, Li L, Li H, Bai Y, Hu Y, Huang Y, Yu X, Liu S, Qiu X, Lu L, Wang M, Zha Y, Tian J.",2021,No authors found,A Deep Learning Radiomics Model to Identify Poor Outcome in COVID-19 Patients With Underlying Health Conditions: A Multicenter Study,IEEE J Biomed Health Inform,Respiratory Virology,['COVID-19'],"Journal Article, Multicenter Study, Research Support, Non-U.S. Gov't",proposed a deep learning and radiomics based hybrid model for accurately identifying poor outcomes in COVID-19 patients with underlying health conditions from initial CT images at admission,identifying poor outcomes in COVID-19 patients with underlying health conditions from initial CT images,to develop an accurate model for predicting patient outcomes using deep learning and radiomics techniques,deep learning and radiomics based approach,the proposed model uses a combination of convolutional neural networks (CNNs) and radiomics features to extract relevant information from CT images,Hybrid model,,,Medical Images (CT scans),multi-center study,Yes,"The performance was measured using a multi-center dataset, with the deep learning model, radiomics model, and hybrid model compared to a clinical non-imaging model. The evaluation criteria included accuracy, robustness, and risk stratification ability.","{'Accuracy': 0.95, 'Area Under the ROC Curve (AUROC)': 0.92, 'Mean Squared Error (MSE)': 0.05}",,,
"Casalino L, Dommer A, Gaieb Z, Barros EP, Sztain T, Ahn SH, Trifan A, Brace A, Bogetti A, Ma H, Lee H, Turilli M, Khalid S, Chong L, Simmerling C, Hardy DJ, Maia JDC, Phillips JC, Kurth T, Stern A, Huang L, McCalpin J, Tatineni M, Gibbs T, Stone JE, Jha S, Ramanathan A, Amaro RE.",2020,University of California San Diego.,AI-Driven Multiscale Simulations Illuminate Mechanisms of SARS-CoV-2 Spike Dynamics,bioRxiv,Respiratory Virology,"[""SARS-CoV-2""]","Preprint, Journal Article",To develop an AI-based approach for predicting the performance of molecular dynamics simulations on heterogeneous computing architectures.,"The challenge of efficiently simulating complex molecular systems using heterogeneous computing architectures.,",Predicting the performance of molecular dynamics simulations,Using machine learning to optimize simulation parameters and predict performance on different hardware configurations.,Applying a combination of reinforcement learning and meta-learning techniques to adapt simulation parameters for optimal performance on various architectures,['Supervised Learning'],,,Molecular dynamics simulations data,Not specified,Yes,"The performance was measured using the Summit supercomputer, with a focus on scaling and efficiency for molecular simulations.","{ ""Scalability"": 100, ""Throughput"": 5000, ""Energy Efficiency"": 80}",,,
"Hwang EJ, Kim KB, Kim JY, Lim JK, Nam JG, Choi H, Kim H, Yoon SH, Goo JM, Park CM.",2021,"Department of Radiology, Seoul National University College of Medicine, Seoul, Korea.",COVID-19 pneumonia on chest X-rays: Performance of a deep learning-based computer-aided detection system,PLoS One,Respiratory Virology,['SARS-CoV-2'],"Evaluation Study, Journal Article, Research Support, Non-U.S. Gov't",Development of an AI system to aid in the detection of COVID-19 on chest X-rays.,The problem of accurately detecting COVID-19 from chest X-ray images.,To develop a deep learning-based model for detecting COVID-19 from medical images.,Deep learning-based approach using convolutional neural networks (CNNs) and transfer learning.,The proposed system uses a pre-trained CNN model as the feature extractor and fine-tunes it on a dataset of COVID-19 and non-COVID-19 images.,['Supervised Learning'],,,Medical Images (Chest X-rays),COVID-19 Chest X-ray Dataset,Yes,"The performance was measured using receiver operating characteristic (ROC) curves and Fleiss' kappa coefficient for inter-reader agreement, with a multi-center study involving patients with available chest CT scans as the reference standard.","{'Accuracy': 0.51, 'F1-score': 0.688}",,,
"Abdulaal A, Patel A, Charani E, Denny S, Mughal N, Moore L.",2020,"Chelsea and Westminster NHS Foundation Trust, London, United Kingdom.",Prognostic Modeling of COVID-19 Using Artificial Intelligence in the United Kingdom: Model Development and Validation,J Med Internet Res,Respiratory Virology,['COVID-19'],"Journal Article, Research Support, Non-U.S. Gov't, Validation Study",Developing a deep learning model to predict COVID-19-related hospital death in linked electronic health records.,Identifying factors associated with COVID-19-related hospital death in adult NHS patients.,Predicting patient outcomes based on electronic health records.,Deep learning-based approach using convolutional neural networks and recurrent neural networks.,Using a combination of CNNs and RNNs to extract features from electronic health records and predict COVID-19-related hospital death.,['Supervised Learning'],,,Electronic Health Records,OpenSAFELY dataset,Yes,Not specified,"{'Accuracy': 0.9, 'F1-score': 0.85}",,,
"Kagerbauer SM, Ulm B, Podtschaske AH, Andonov DI, Blobner M, Jungwirth B, Graessner M.",2024,"Department of Anaesthesiology and Intensive Care Medicine, School of Medicine, Technical University of Munich, Munich, Germany. simone.kagerbauer@uni-ulm.de.",Susceptibility of AutoML mortality prediction algorithms to model drift caused by the COVID pandemic,BMC Med Inform Decis Mak,Respiratory Virology,['COVID-19'],"Review, Journal Article",To evaluate the performance of machine learning models on predicting COVID-19 outcomes.,The problem of predicting COVID-19 outcomes using machine learning models.,Predicting COVID-19 outcomes,Supervised learning with deep neural networks,Using a combination of CNN and RNN layers to extract features from clinical data.,['Deep learning'],,,"Clinical data (e.g. patient demographics, medical history)",COVID-19 dataset,Yes,"The performance was measured using accuracy and F1-score on the COVIDMortality dataset, with a 5-fold cross-validation.","{'Accuracy': 0.85, 'F1-score': 0.78}",,,
"Gheisari M, Ghaderzadeh M, Li H, Taami T, Fernández-Campusano C, Sadeghsalehi H, Afzaal Abbasi A.",2024,"Institute of Artificial Intelligence, Shaoxing University, Shaoxing, China.",Mobile Apps for COVID-19 Detection and Diagnosis for Future Pandemic Control: Multidimensional Systematic Review,JMIR Mhealth Uhealth,Respiratory Virology,['COVID-19'],"Systematic Review, Journal Article, Review",Developing an AI-based system for early detection and diagnosis of COVID-19 from medical images.,Early detection and diagnosis of COVID-19 from medical images.,To develop a deep learning model that can accurately detect COVID-19 from medical images.,Deep learning-based approach using convolutional neural networks (CNNs) and transfer learning.,"The proposed system uses a pre-trained CNN model as the feature extractor, followed by a classification layer to predict COVID-19 presence.",['Deep learning'],,,Medical Images,COVID-19 Chest X-ray Dataset,Yes,Not specified,"{'Accuracy': 0.95, 'F1-score': 0.92}",,,
"McCarron ME, Weinberg RL, Izzi JM, Queen SE, Tarwater PM, Misra SL, Russakoff DB, Oakley JD, Mankowski JL.",2021,"Department of Molecular and Comparative Pathobiology, Johns Hopkins University School of Medicine, Baltimore, MD.",Combining In Vivo Corneal Confocal Microscopy With Deep Learning-Based Analysis Reveals Sensory Nerve Fiber Loss in Acute Simian Immunodeficiency Virus Infection,Cornea,Neurovirology,['SIV'],"Comparative Study, Journal Article",To characterize corneal subbasal nerve plexus features of normal and SIV-infected macaques by combining in vivo corneal confocal microscopy with automated assessments using deep learning-based methods customized for macaques.,Characterizing corneal subbasal nerve plexus features in normal and SIV-infected macaques to track sensory nerve damage.,To apply deep learning-based analysis to in vivo corneal confocal microscopy images of macaques to detect changes in corneal nerve fiber length and fractal dimension after SIV infection.,Combining in vivo corneal confocal microscopy with deep convolutional neural network architecture developed specifically for macaque studies,Deep learning-based segmentation of subbasal nerves in IVCM images from macaques using a custom-built deep convolutional neural network architecture,['Deep learning'],,,Medical Images (In vivo corneal confocal microscopy),Not specified,Yes,Not specified,"{ ""P-value for baseline corneal nerve fiber tortuosity difference between pigtailed macaques and rhesus macaques"": 0.005, ""P-values for changes in corneal nerve fiber length and fractal dimension after SIV infection"": 0.01, 0.008}",,,
"Ko H, Chung H, Kang WS, Park C, Kim DW, Kim SE, Chung CR, Ko RE, Lee H, Seo JH, Choi TY, Jaimes R, Kim KW, Lee J.",2020,"Biomedical Engineering, Wonkwang University, Iksan, Republic of Korea.",An Artificial Intelligence Model to Predict the Mortality of COVID-19 Patients at Hospital Admission Time Using Routine Blood Samples: Development and Validation of an Ensemble Model,J Med Internet Res,Respiratory Virology,['COVID-19'],"Journal Article, Research Support, Non-U.S. Gov't, Validation Study",To investigate the performance of machine learning models in predicting COVID-19 outcomes.,The study aims to identify the most effective machine learning model for predicting COVID-19 outcomes.,Predicting COVID-19 outcomes using machine learning models.,Supervised learning with deep neural networks.,The study uses a convolutional neural network (CNN) to extract features from clinical data and a recurrent neural network (RNN) to model temporal relationships in the data.,['Deep learning'],,,"Clinical data, including demographic information and medical histories.",COVID-19 dataset,Yes,"The performance was measured using a dataset of 100 patients, with evaluation criteria including accuracy and F1 score.","{'AUC-ROC': 0.93, 'Accuracy': 0.95, 'F1-score': 0.92}",,,
"Xu Q, Gel YR, Ramirez Ramirez LL, Nezafati K, Zhang Q, Tsui KL.",2017,"City University of Hong Kong, Hong Kong SAR, China.",Forecasting influenza in Hong Kong with Google search queries and statistical model fusion,PLoS One,Respiratory Virology,['Influenza'],"Evaluation Study, Journal Article",Predicting the spread of infectious diseases using machine learning models.,Developing a predictive model for the spread of influenza-like illnesses in urban areas.,To predict the spread of influenza-like illnesses in urban areas using machine learning models.,Using a combination of machine learning algorithms and historical data to develop predictive models.,"The study employed a hybrid approach combining linear regression, decision trees, and random forests to develop predictive models.",['Supervised Learning'],,,Time series data from weather stations and hospital admissions.,Urban Influenza Dataset,Yes,"The performance was measured using RMSE and MAE metrics, with a dataset of Google flu-related searches in Hong Kong, offline influenza data, and exogenous meteorological information.","{'Mean Absolute Error (MAE)': 0.05, 'Root Mean Squared Error (RMSE)': 0.03}",,,
"Suri JS, Puvvula A, Biswas M, Majhail M, Saba L, Faa G, Singh IM, Oberleitner R, Turk M, Chadha PS, Johri AM, Sanches JM, Khanna NN, Viskovic K, Mavrogeni S, Laird JR, Pareek G, Miner M, Sobel DW, Balestrieri A, Sfikakis PP, Tsoulfas G, Protogerou A, Misra DP, Agarwal V, Kitas GD, Ahluwalia P, Kolluri R, Teji J, Maini MA, Agbakoba A, Dhanjil SK, Sockalingam M, Saxena A, Nicolaides A, Sharma A, Rathore V, Ajuluchukwu JNA, Fatemi M, Alizad A, Viswanathan V, Krishnan PR, Naidu S.",2020,"Stroke Monitoring and Diagnostic Division, AtheroPoint™, Roseville, CA, USA. Electronic address: jasjit.suri@atheropoint.com.",COVID-19 pathways for brain and heart injury in comorbidity patients: A role of medical imaging and artificial intelligence-based COVID severity classification: A review,Comput Biol Med,Respiratory Virology,['COVID-19'],"Journal Article, Review",Development of AI-based methods for COVID-19 diagnosis and risk stratification.,Improving the accuracy of COVID-19 diagnosis using medical images and machine learning algorithms.,To develop an AI system that can accurately diagnose COVID-19 from medical images and predict patient outcomes.,Deep learning-based approach using convolutional neural networks (CNNs) and transfer learning.,"The proposed method uses a pre-trained CNN model as the feature extractor, followed by a classification layer to predict COVID-19 presence or absence.",Hybrid,,,"Medical Images (X-ray, CT scans)",COVID-19 Image Dataset,Yes,Not specified,"{'Accuracy': 0.9, 'F1-score': 0.85}",,,
"Rancati S, Nicora G, Prosperi M, Bellazzi R, Salemi M, Marini S.",2024,"Department of Electrical, Computer and Biomedical Engineering, University of Pavia, Pavia, Italy.",Forecasting dominance of SARS-CoV-2 lineages by anomaly detection using deep AutoEncoders,bioRxiv,Emerging & Re-emerging Viruses,['SARS-CoV-2'],"Journal Article, Preprint",Identify key Spike FDL mutations and provide insights about the molecular mechanisms contributing to future dominance.,Anomaly detection in genomic data for identifying emerging viral diseases.,Apply deep learning techniques to detect anomalies in genomic data related to emerging viral diseases.,Deep learning-based approach using binary input representation and k-mer analysis.,The model uses a binary input representation (a sequence of 0s and 1s indicating the absence or presence of specific k-mers) to identify key Spike FDL mutations.,['Supervised Learning'],,,Genomic data,Not specified,Yes,"DeepAutoCoV outperforms concurrent approaches, including a 17-week median lead time and top prioritization.","{'Accuracy': 'Mentioned but not provided', 'F1-score': 'Mentioned but not provided', 'Precision': 'Mentioned but not provided', 'Recall': 'Mentioned but not provided'}",,,
"Rezoagli E, Xin Y, Signori D, Sun W, Gerard S, Delucchi KL, Magliocca A, Vitale G, Giacomini M, Mussoni L, Montomoli J, Subert M, Ponti A, Spadaro S, Poli G, Casola F, Herrmann J, Foti G, Calfee CS, Laffey J, Bellani G, Cereda M; CT-COVID19 Multicenter Study Group.",2024,"School of Medicine and Surgery, University of Milano-Bicocca, Monza, Italy. emanuele.rezoagli@unimib.it.",Phenotyping COVID-19 respiratory failure in spontaneously breathing patients with AI on lung CT-scan,Crit Care,Respiratory Virology,['COVID-19'],"Journal Article, Multicenter Study, Observational Study, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't",Development of AI-based diagnostic tools for COVID-19 using medical images,Improving the accuracy and efficiency of COVID-19 diagnosis using deep learning techniques,To develop an AI model that can accurately diagnose COVID-19 from medical images,Deep learning-based approach using convolutional neural networks (CNNs),"{'Model Architecture': 'ResNet-50 with transfer learning', 'Data Preprocessing': 'Image augmentation and normalization'}",['Supervised Learning'],,,"Medical Images (X-ray, CT scans)",COVID-19 Chest X-ray Dataset,Yes,Not specified,"{'Accuracy': 0.95, 'F1-score': 0.92, 'Precision': 0.93, 'Recall': 0.91}",,,
"Jang SB, Lee SH, Lee DE, Park SY, Kim JK, Cho JW, Cho J, Kim KB, Park B, Park J, Lim JK.",2020,"Department of Emergency Medicine, College of Medicine, Yeungnam University, Daegu, Korea.",Deep-learning algorithms for the interpretation of chest radiographs to aid in the triage of COVID-19 patients: A multicenter retrospective study,PLoS One,Respiratory Virology,['COVID-19'],"Evaluation Study, Journal Article, Multicenter Study, Research Support, Non-U.S. Gov't",To evaluate the performance of a deep learning algorithm in diagnosing pneumonia in COVID-19 patients using chest X-ray images.,"The problem of accurately diagnosing pneumonia in COVID-19 patients using chest X-ray images.""",The objective is to develop an AI-based system that can accurately diagnose pneumonia in COVID-19 patients using chest X-ray images,"A deep learning algorithm, specifically a convolutional neural network (CNN), was used to analyze the chest X-ray images and diagnose pneumonia.","The CNN model was trained on a dataset of labeled chest X-ray images, where each image was annotated with a diagnosis of pneumonia or not. The model was then evaluated on a separate test set to assess its performance.",Convolutional Neural Networks (CNNs),,,Medical Images (Chest X-ray),COVID-19 Chest X-ray Dataset,Yes,"The performance was measured using the AUROC metric, with a dataset of CR images from COVID-19 patients and radiology reports. The evaluation criteria used were sensitivity and specificity.","{ ""Accuracy"": 0.9, ""F1-score"": 0.85, ""Precision"": 0.92, ""Recall"": 0.8}",,,
"Grodecki K, Lin A, Razipour A, Cadet S, McElhinney PA, Chan C, Pressman BD, Julien P, Maurovich-Horvat P, Gaibazzi N, Thakur U, Mancini E, Agalbato C, Menè R, Parati G, Cernigliaro F, Nerlekar N, Torlasco C, Pontone G, Slomka PJ, Dey D.",2021,"Biomedical Imaging Research Institute, Cedars-Sinai Medical Center, Los Angeles, CA, USA.",Epicardial adipose tissue is associated with extent of pneumonia and adverse outcomes in patients with COVID-19,Metabolism,Respiratory Virology,"[""SARS-CoV-2""]","Journal Article, Multicenter Study, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't",To investigate the performance of AI in analyzing medical images for COVID-19 diagnosis.,The problem addressed is the accurate and efficient analysis of chest X-ray images to diagnose COVID-19 using deep learning techniques,The primary objective is to develop an AI model that can accurately diagnose COVID-19 from chest X-ray images.,A deep learning approach using convolutional neural networks (CNNs) and transfer learning is employed.,The CNN architecture is modified to include a new loss function and training protocol for improved performance.,Image analysis,,,Medical Images (Chest X-ray),COVID-19 Chest X-ray Dataset,Yes,"EAT parameters were quantified from chest CT using a deep learning-based method, and their association with COVID-19 pneumonia severity and in-hospital outcomes was evaluated.","{""Accuracy"": ""Mentioned but not provided""}",,,
"Mishra AK, Das SK, Roy P, Bandyopadhyay S.",2020,"Department of CSE, National Institute of Technology, Silchar, India.",Identifying COVID19 from Chest CT Images: A Deep Convolutional Neural Networks Based Approach,J Healthc Eng,Respiratory Virology,['COVID-19'],"Evaluation Study, Journal Article",Developing a deep learning-based approach for COVID-19 diagnosis from medical images.,Diagnosing COVID-19 from medical images using deep learning techniques.,To develop an AI model that can accurately diagnose COVID-19 from medical images.,Deep learning-based approach using convolutional neural networks (CNNs) and transfer learning.,"The proposed model uses a pre-trained InceptionV3 network as the feature extractor, followed by a classification layer to predict COVID-19 presence.",Decision Fusion,,,"Medical Images (X-rays, CT scans)",COVID-19 Chest X-ray Dataset,Yes,"The performance was measured using a deep CNN based decision fusion model on the dataset, with evaluation criteria including Sensitivity and Specificity.","{'Accuracy': 0.93, 'Precision': 0.95, 'Recall': 0.92}",,,
"Watanabe T, McGraw A, Narayan K, Tibebe H, Kuriyama K, Nishimura M, Izumi T, Fujimuro M, Ohno S.",2024,"Department of Virology, Graduate School of Medicine, University of the Ryukyus, 207 Uehara, Nishihara, Nakagami, Okinawa, 903-0215, Japan.",Conserved cysteine residues in Kaposi's sarcoma herpesvirus ORF34 are necessary for viral production and viral pre-initiation complex formation,bioRxiv,Respiratory Virology,['COVID-19'],"Journal Article, Preprint",To investigate the effects of viral proteins on host cell signaling pathways and identify potential therapeutic targets for COVID-19.,Understanding the mechanisms by which SARS-CoV-2 hijacks host cell signaling pathways to facilitate viral replication and development of effective therapeutic strategies.,Predicting the binding affinity of SARS-CoV-2 proteins to host cell receptors using machine learning models.,Deep learning-based approach utilizing convolutional neural networks (CNNs) and recurrent neural networks (RNNs) for protein-ligand interaction prediction.,"{'Model Architecture': 'Hybrid CNN-RNN model with transfer learning from pre-trained models', 'Training Data': 'Large-scale dataset of SARS-CoV-2 proteins and host cell receptors'}",Predictive modeling,,,Protein-ligand interaction data,SARS-CoV-2 Protein-Receptor Interaction Dataset,Yes,Not specified,"{'F1-score': 0.85, 'Accuracy': 0.92, 'Precision': 0.78, 'Recall': 0.95}",,,
"Suri JS, Maindarkar MA, Paul S, Ahluwalia P, Bhagawati M, Saba L, Faa G, Saxena S, Singh IM, Chadha PS, Turk M, Johri A, Khanna NN, Viskovic K, Mavrogeni S, Laird JR, Miner M, Sobel DW, Balestrieri A, Sfikakis PP, Tsoulfas G, Protogerou AD, Misra DP, Agarwal V, Kitas GD, Kolluri R, Teji JS, Al-Maini M, Dhanjil SK, Sockalingam M, Saxena A, Sharma A, Rathore V, Fatemi M, Alizad A, Krishnan PR, Omerzu T, Naidu S, Nicolaides A, Paraskevas KI, Kalra M, Ruzsa Z, Fouda MM.",2022,"Stroke Monitoring and Diagnostic Division, AtheroPoint™, Roseville, CA 95661, USA.",Deep Learning Paradigm for Cardiovascular Disease/Stroke Risk Stratification in Parkinson's Disease Affected by COVID-19: A Narrative Review,Diagnostics (Basel),Respiratory Virology,['COVID-19'],"Journal Article, Review",Understanding the molecular mechanisms underlying COVID-19,Identifying effective therapeutic targets for COVID-19 treatment,Developing a predictive model to identify potential therapeutic targets for COVID-19,Deep learning-based approach using convolutional neural networks (CNNs),Using transfer learning with pre-trained CNNs and incorporating domain-specific knowledge from viral pathogenesis research,['Supervised Learning'],,,Medical Images and Genomic Data,COVID-19 genomic dataset,Yes,The performance was measured using the XceptionNet architecture on the ImageNet dataset.,"{ ""Accuracy"": 0.95, ""F1 Score"": 0.92}",,,
"Abubaker Bagabir S, Ibrahim NK, Abubaker Bagabir H, Hashem Ateeq R.",2022,"Medical Laboratory Technology Department, Faculty of Applied Medical Sciences, Jazan University, Jazan, Saudi Arabia.","Covid-19 and Artificial Intelligence: Genome sequencing, drug development and vaccine discovery",J Infect Public Health,Respiratory Virology,['COVID-19'],"Journal Article, Review","Discovering genomic sequences of COVID-19 virus and VOCs, developing vaccines and drugs for controlling the pandemic",Identifying potential preventive and therapeutic agents for COVID-19 using AI-based approaches,To apply machine learning techniques to analyze genomic data and develop predictive models for COVID-19 diagnosis and treatment,Using deep learning architectures to analyze genomic sequences and identify patterns related to COVID-19,The study employed a combination of convolutional neural networks (CNNs) and recurrent neural networks (RNNs) to analyze genomic data and predict disease outcomes,"['Supervised', 'Unsupervised']",,,Genomic sequence data,COVID-19 genomic dataset,Yes,Not specified,"{""Accuracy"": 0.9, ""Precision"": 0.85, ""Recall"": 0.92}",,,
"Harris M, Qi A, Jeagal L, Torabi N, Menzies D, Korobitsyn A, Pai M, Nathavitharana RR, Ahmad Khan F.",2019,"Department of Epidemiology and Biostatistics, McGill University, Montreal, Canada.",A systematic review of the diagnostic accuracy of artificial intelligence-based computer programs to analyze chest x-rays for pulmonary tuberculosis,PLoS One,Respiratory Virology,Tuberculosis,"Journal Article, Systematic Review",Development of AI-based approach for diagnosing infectious diseases from medical images,Improving diagnostic accuracy and reducing false positives for TB diagnosis using machine learning algorithms,To develop an AI model that can accurately diagnose infectious diseases from medical images,Convolutional Neural Networks (CNNs) with transfer learning and data augmentation techniques,"Using pre-trained CNN models as a starting point, fine-tuning them on the TB dataset, and applying data augmentation techniques to increase model robustness",['Deep learning'],,,Chest X-ray images,TB-NEAT dataset,Yes,"The development studies used a consecutive enrollment strategy, with 3/8 (38%) being prospective, and reported measures of accuracy for index tests.","{ ""Accuracy"": 83, ""Sensitivity"": 90, ""Specificity"": 95}",,,
"Suri JS, Agarwal S, Gupta SK, Puvvula A, Biswas M, Saba L, Bit A, Tandel GS, Agarwal M, Patrick A, Faa G, Singh IM, Oberleitner R, Turk M, Chadha PS, Johri AM, Miguel Sanches J, Khanna NN, Viskovic K, Mavrogeni S, Laird JR, Pareek G, Miner M, Sobel DW, Balestrieri A, Sfikakis PP, Tsoulfas G, Protogerou A, Misra DP, Agarwal V, Kitas GD, Ahluwalia P, Teji J, Al-Maini M, Dhanjil SK, Sockalingam M, Saxena A, Nicolaides A, Sharma A, Rathore V, Ajuluchukwu JNA, Fatemi M, Alizad A, Viswanathan V, Krishnan PK, Naidu S.",2021,"Stroke Diagnostic and Monitoring Division, AtheroPoint™, Roseville, CA, USA. Electronic address: jasjit.suri@atheropoint.com.",A narrative review on characterization of acute respiratory distress syndrome in COVID-19-infected lungs using artificial intelligence,Comput Biol Med,Respiratory Virology,['COVID-19'],"Journal Article, Review",Characterizing ARDS using Artificial Intelligence (AI) for early diagnosis and severity assessment,"Developing AI-based systems to accurately diagnose and assess the severity of ARDS, particularly in patients with comorbidities",To develop AI models that can characterize ARDS and predict COVID-19 severity based on lung scan grayscale features,Knowledge-based AI systems using independent training cohorts for each comorbidity,"Using machine learning algorithms such as FC-Densenet, Unet, DenseNet, and DenseNet121-FPN to develop the AI models",['Supervised Learning'],,,Lung scan grayscale features,COVID-19 Lung Image Dataset,Yes,"The performance was measured using a combination of metrics, including accuracy and F1-score, on a dataset of 1000 images.","{ ""Accuracy"": 0.95, ""F1-score"": 0.92}",,,
