Sl.No,Authors,Year of publication,Primary affiliation of primary author,Title of article,Name of Publication/Journal,Subdomain,Disease Name,Type of Evidence Source,Research Aim,Research Problem,AI Objective,AI Methodology,AI Method Details,AI Method Type,Is software publicly released?,Software License,Virology AI task addressed,Type of Underlying Data,Dataset Name,Was Performance Measured,How was Performance measured and What was measured?,Performance Metrics,Performance score,
,,,,,,,,,,,,,,,,,,,,,"In the second experiment, the model's forecasting ability was compared against three baseline models: multi-channel LSTM without attention (MCLSTM), single LSTM, and traditional RNN. The Att-MCLSTM model achieved the lowest MAPE (0.086), outperforming all other models, thus demonstrating the effectiveness of both its multi-channel structure and attention mechanism in handling regional influenza time-series data.",{'MAPE'}," {""Att-MCLSTM"": 0.086, ""MCLSTM"": 0.105, ""LSTM"": 0.118, ""RNN"": 0.132}",
24,"Zheng F, Li L, Zhang X, Song Y, Huang Z, Chong Y, Chen Z, Zhu H, Wu J, Chen W, Lu Y, Yang Y, Zha Y, Zhao H, Shen J.",2021,"School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, 510006, China.",Accurately Discriminating COVID-19 from Viral and Bacterial Pneumonia According to CT Images Via Deep Learning,Interdiscip Sci,Respiratory Virology,['SARS-CoV-2'],"Comparative Study, Journal Article","Develop a deep learning-based CT image diagnosis system that can automatically classify patients into four categories : COVID-19, bacterial pneumonia, typical viral pneumonia, and healthy controls","Develop an automated diagnostic approach capable of accurately classifying multiple, visually similar pneumonia types in CT scans to improve diagnostic precision and reduce clinical workload.","The AI objective of this study is to build a high-performing deep learning model that can automatically classify CT chest images into four categories. The goal is to leverage the strengths of ResNet50 for deep feature extraction and enhance its capability using SE (Squeeze-and-Excitation) blocks, enabling the model to selectively focus on the most informative image regions and channels. The system is designed to support person-level diagnosis by aggregating predictions across CT slices.
","The AI methodology in this study involves a comprehensive pipeline that combines CT image preprocessing, intelligent slice selection, and deep learning-based classification. CT data were collected from 659 individuals across four categories : COVID-19, bacterial pneumonia, typical viral pneumonia, and healthy controls yielding over 52,000 raw slices, which were filtered down to 5,363 diagnostically relevant slices using a structured selection strategy. Each image underwent preprocessing, including lung region segmentation, morphological cleaning, augmentation through rotation and translation, and resizing to a standard 512×512 resolution. To address class imbalance and enhance model generalization, data augmentation was applied at varying rates across classes. The core model architecture integrates a ResNet50 backbone with Squeeze-and-Excitation (SE) blocks.","ResNet50 serves as the backbone for feature extraction, while SE blocks enhance performance by learning to prioritize the most informative feature channels through adaptive attention. Each SE block compresses spatial features using global average pooling and applies learned weights to highlight key image regions. The model processes individual CT slices resized to 512×512 and then aggregates the prediction scores across all slices to produce a final person-level diagnosis. A fully connected layer with softmax activation is used for quaternary classification. The model is trained using the Adam optimizer with a low learning rate  of 1e?5, using cross-entropy loss for multi-class classification.",['ResNet50 with Squeeze-and-Excitation (SE) Blocks for Quaternary CT Image Classification'],https://github.com/Zhengfudan/COVID-19-Diagnosis-and-Pneumonia-Classification,No,distinguishing COVID-19 from typical viral pneumonia,Medical Images (CT scans),Zheng et. Al,Yes,"The model was evaluated on its ability to classify all four categories (COVID-19, bacterial pneumonia, typical viral pneumonia, healthy) simultaneously. Performance was reported as macro-average across the classes, as well as per-class AUC, precision, recall, and F1-score.","{""Accuracy"", ""AUC"", ""Recall"", ""Precision"", ""F1-score""}","{""AUC"": 0.96, ""Accuracy"": 0.94, ""Recall"": 0.94, ""Precision"": 0.95, ""F1-score"": 0.94}",
,,,,,,,,,,,,,,,,,,,,,"The model's ability to detect COVID-19 in more focused diagnostic scenarios, the authors conducted four binary classification experiments. In each case, the model was trained to distinguish COVID-19 patients from one or more other categories individually. The performance was assessed using AUC, Accuracy, Recall, Precision, and F1-score. These experiments demonstrated that while the model performed nearly perfectly in separating COVID-19 from healthy individuals, its performance decreased when distinguishing COVID-19 from typical viral pneumonia, due to their imaging similarity.
","{""Accuracy"", ""AUC"", ""Recall"", ""Precision"", ""F1-score""}","{""COVID_vs_Healthy"": {""AUC"": 0.99, ""Accuracy"": 0.98, ""Recall"": 1.00, ""Precision"": 0.96, ""F1-score"": 0.98}, ""COVID_vs_Bacterial"": {""AUC"": 0.94, ""Accuracy"": 0.86, ""Recall"": 0.93, ""Precision"": 0.81, ""F1-score"": 0.86}, ""COVID_vs_Viral"": {""AUC"": 0.91, ""Accuracy"": 0.83, ""Recall"": 0.92, ""Precision"": 0.81, ""F1-score"": 0.86}, ""COVID_vs_All"": {""AUC"": 0.92, ""Accuracy"": 0.85, ""Recall"": 0.90, ""Precision"": 0.82, ""F1-score"": 0.86}}",
,,,,,,,,,,,,,,,,,,,,,"The proposed model (ResNet50 + SE) was compared against DenseNet, VGG, and plain ResNet using the same dataset and training setup. Evaluation was based on AUC, Recall, Precision, F1-score, and Accuracy for the quaternary classification task.","{""Accuracy"", ""AUC"", ""Recall"", ""Precision"", ""F1-score""}","{""AUC"": 0.96, ""Accuracy"": 0.94, ""Recall"": 0.94, ""Precision"": 0.95, ""F1-score"": 0.94}",
25,"Ozsahin I, Sekeroglu B, Musa MS, Mustapha MT, Uzun Ozsahin D.",2020,"Department of Biomedical Engineering, Near East University, Nicosia / TRNC, Mersin-10, 99138, Turkey.",Review on Diagnosis of COVID-19 from Chest CT Images Using Artificial Intelligence,Comput Math Methods Med,Respiratory Virology,['COVID-19'],"Journal Article, Review",Developing an AI-based approach for early detection and diagnosis of COVID-19 from medical images.,Early detection and diagnosis of COVID-19 from medical images.,To develop an AI model that can accurately detect COVID-19 from medical images.,Deep learning-based approach using convolutional neural networks (CNNs) and transfer learning.,The proposed method uses a pre-trained CNN model as the feature extractor and fine-tunes it on a dataset of COVID-19 and non-COVID-19 images.,"['Convolutional Neural Networks', 'U-Net Architecture']",No,No,detection and diagnosis of COVID-19 using chest CT imaging,Medical Images,COVID-19 Image Dataset,Yes,Not specified,"{'Accuracy': 0.95, 'Precision': 0.92, 'Recall': 0.93}","{'Accuracy': 0.95, 'Precision': 0.92, 'Recall': 0.93}",
26,"Shao Z, Buchanan LB, Zuanazzi D, Khan YN, Khan AR, Prodger JL.",2024,"Department of Microbiology and Immunology, The University of Western Ontario, 1151 Richmond St, London, ON, N6A 3K7, Canada.",Comparison between a deep-learning and a pixel-based approach for the automated quantification of HIV target cells in foreskin tissue,Sci Rep,General Virology,['HIV'],"Comparative Study, Journal Article",The aim of this study is to develop and validate a deep learning-based image analysis workflow using the StarDist model to accurately and efficiently quantify HIV-susceptible immune cells.,"Accurate quantification of HIV target cells in genital tissue is critical for assessing susceptibility to infection during sexual transmission. However, existing pixel-based cell counting techniques struggle in areas of high cell density and autofluorescence common features in genital tissue while manual counting is labor-intensive and prone to human error. There is a lack of automated, unbiased, and robust image analysis tools that can reliably segment and quantify immune cells across complex tissue environments.","Automate the segmentation and quantification of HIV target immune cells (e.g., CD4?, CCR5?, CD3? T cells) in immunofluorescence microscopy images of foreskin tissue. This automation aims to overcome limitations of manual and pixel-based methods by providing a high-throughput, accurate, and reproducible approach that performs reliably even in regions with high cell density and tissue autofluorescence.","Tissue samples were first prepared and stained with multiple biological markers relevant to the study’s objective. High-resolution images were collected, and a subset of them was manually annotated to create training data. These annotated images were used to train a neural network model based on the StarDist architecture, which uses star-convex polygons for object detection and segmentation. The training process included data augmentation techniques to improve model robustness, and model optimization was guided by standard deep learning practices. After training, the model was applied to new microscopy images to automatically detect and count cells of interest. The model’s performance was evaluated by comparing its output to manual counts (considered the gold standard) and to results from a traditional rule-based (pixel-thresholding) method. Additional validation was performed in challenging regions of tissue, such as those with high cell density or autofluorescence, to ensure the model's reliability across diverse imaging conditions.","The study uses a deep learning model based on the StarDist architecture, which detects and segments individual cells using star-convex polygon representations well-suited for the irregular shapes of immune cells. The model was trained on multi-channel immunofluorescence images containing cell markers and nuclei, using 40 manually annotated image tiles as ground truth. A custom workflow was built using Snakemake to train the model with image augmentations (e.g., flipping, intensity variation) for better generalization. Training was carried out for 400 epochs with 100 steps per epoch, using a 2D U-Net backbone. Input images were normalized, and non-maximum suppression (NMS) was applied during prediction to refine detection accuracy. ",['StarDist (2D U-Net-based Deep Learning Model for Cell Segmentation)'],https://zenodo.org/records/8091889,Creative Commons Attribution 4.0 International,Quantifying HIV-susceptible immune cells in genital mucosal tissue (helps in assessing an individual’s vulnerability to HIV transmission and evaluating the effectiveness of HIV prevention strategies),Immunofluorescence microscopy images of foreskin tissue,ProdgerLab-StarDist Training Dataset,Yes,"The performance of the StarDist model was evaluated by comparing its automated cell counts to manual counting, which served as the gold standard. This comparison was done across multiple microscopy images, focusing on identifying key immune cell types, including total cells and various HIV-susceptible subsets like CD3?, CD4?, CCR5?, and triple-positive CD3?CD4?CCR5? cells. The evaluation metrics included sensitivity, precision, false negative rate, and false discovery rate. These metrics were used to assess how well the model could correctly identify cells, avoid missed detections, and minimize incorrect classifications. The results showed strong agreement with manual counts across all measured parameters, demonstrating that the StarDist model is accurate and reliable for immune cell quantification in tissue samples.","{""Sensitivity"", ""Precision"", ""False Negative Rate"", ""False Discovery Rate""}","{
    ""sensitivity"": "">94% (all cell types), >97.5% (for some key subsets)"",
    ""precision"": "">90% for most; 85.2% for rarest subtype"",
    ""false_negative_rate"": ""<5.2% (all types)"",
    ""false_discovery_rate"": ""<10% (except CD4?CCR5? and triple-positive)""
  }",
,,,,,,,,,,,,,,,,,,,,,"To further validate its performance, the StarDist model was compared with a conventional pixel-based cell segmentation method. This comparison assessed the same immune cell types and also tested the models in challenging tissue regions, such as areas with high cell density and high autofluorescence. Evaluation focused on the same set of metrics sensitivity, precision, false negative rate, and false discovery rate. Additional qualitative factors were also observed, such as the tendency for overcounting, undercounting, and errors due to cell merging or splitting. Compared to the pixel-based approach, the StarDist model demonstrated better consistency, fewer errors in difficult regions, and overall superior performance across all metrics used in the analysis.","{""Sensitivity"", ""Precision"", ""False Negative Rate"", ""False Discovery Rate""}","{
    ""sensitivity"": ""60.7%–93.6%"",
    ""precision"": ""69.8%–91.1%"",
    ""false_negative_rate"": ""6.4%–39.3%"",
    ""false_discovery_rate"": ""Up to 30.2%"",
    ""issues_in_special_regions"": ""High merging/splitting in dense tissues; misidentification in autofluorescent regions""
  }",
27,"Helwan A, Ma'aitah MKS, Hamdan H, Ozsahin DU, Tuncyurek O.",2021,"Lebanese American University, School of Engineering, Department of ECE, Byblos, Lebanon.",Radiologists versus Deep Convolutional Neural Networks: A Comparative Study for Diagnosing COVID-19,Comput Math Methods Med,Respiratory Virology,['COVID-19'],"Comparative Study, Journal Article",To compare the diagnostic performance of pre-trained deep learning models with that of human radiologists in identifying COVID-19 from chest CT images.,"To check if AI-based diagnostic tools, particularly pre-trained deep learning models, outperform human radiologists in detecting COVID-19 from chest CT images and provide a more reliable diagnostic alternative.",Evaluate the effectiveness and generalization ability of deep learning models in diagnosing COVID-19 compared to human radiologists.,"The study adopts a transfer learning-based AI methodology to assess the diagnostic performance of deep learning models in identifying COVID-19 from chest CT images, in comparison to human radiologists. Pre-trained convolutional neural networks ResNet-18, ResNet-50, and DenseNet-201 were selected based on prior success in medical image classification. These models, originally trained on the ImageNet dataset, were fine-tuned for binary classification (COVID-19 vs Non-COVID-19) using a curated dataset of chest CT images. Transfer learning was employed to adapt the models by updating the final layers while retaining earlier feature representations, enabling efficient training on a relatively small dataset. To ensure a fair human-machine comparison, the models and medical experts were tested on the same 250 unseen images. Two radiologists were chosen for this comparison: a senior thoracic radiologist with 10 years of experience in chest imaging (Rad 1), and a junior radiologist with 2 years of experience (Rad 2). Both were given the same time frame and dataset to perform their diagnoses. The methodology includes evaluating both AI models and radiologists using key performance metrics such as accuracy, sensitivity, specificity, precision, and F1-score, and incorporates Grad-CAM visualization to interpret model decision-making.","The AI method used in this study is transfer learning with pre-trained convolutional neural networks (CNNs), specifically ResNet-18, ResNet-50, and DenseNet-201. These models, originally trained on the large-scale ImageNet dataset, were adapted for the binary classification task of detecting COVID-19 from chest CT images. The transfer learning approach involved replacing and fine-tuning the final classification layers while keeping the earlier layers fixed to retain learned visual features. The models were trained using categorical cross-entropy loss and stochastic gradient descent (SGD) with a learning rate of 0.0001 and a batch size of 64, over a maximum of 10 epochs with early stopping based on validation error. Input images were preprocessed by converting from DICOM to PNG format, normalized, and resized to 224 × 224 pixels. Model performance was evaluated using standard metrics such as accuracy, sensitivity, specificity, precision, and F1-score. Additionally, Grad-CAM visualizations were used to highlight the specific image regions the models focused on, providing interpretability for the predictions.",['Transfer Learning with Pre-trained Convolutional Neural Networks (CNNs)'],No,No,COVID-19 Diagnosis from Chest CT Images,Medical Images (CT images),Helwan et.al,Yes,"The performance of both the deep learning models and the radiologists was evaluated using a fixed test set of 250 chest CT images, comprising 100 COVID-19 and 150 Non-COVID-19 cases. Each model and radiologist made predictions on the same set, and their outputs were compared against the ground-truth labels to ensure a fair comparison. A confusion matrix was generated for each evaluator, from which standard diagnostic metrics were calculated: accuracy, sensitivity, specificity, precision, and F1-score. These metrics were used to assess the classification effectiveness of the AI models and the radiologists. ","{""Accuracy"", ""Sensitivity"", ""Specificity"", ""Precision"", ""F1-score""}","{""Radiologist_1"": {""Accuracy"": 76.4, ""Sensitivity"": 79.1, ""Specificity"": 80.3, ""Precision"": 80.4, ""F1-score"": 79.74}, ""Radiologist_2"": {""Accuracy"": 75.9, ""Sensitivity"": 74.1, ""Specificity"": 78.7, ""Precision"": 79.2, ""F1-score"": 76.56}, ""ResNet-18"": {""Accuracy"": 91.3, ""Sensitivity"": 90.1, ""Specificity"": 94.3, ""Precision"": 91.4, ""F1-score"": 90.74}, ""ResNet-50"": {""Accuracy"": 97.2, ""Sensitivity"": 93.1, ""Specificity"": 94.3, ""Precision"": 96.1, ""F1-score"": 94.58}, ""DenseNet-201"": {""Accuracy"": 97.8, ""Sensitivity"": 98.1, ""Specificity"": 97.3, ""Precision"": 98.4, ""F1-score"": 98.25}}",
28,"Zorn KM, Lane TR, Russo DP, Clark AM, Makarov V, Ekins S.",2019,"Collaborations Pharmaceuticals, Inc. , Main Campus Drive, Lab 3510 , Raleigh , North Carolina 27606 , United States.",Multiple Machine Learning Comparisons of HIV Cell-based and Reverse Transcriptase Data Sets,Mol Pharm,General Virology,['HIV/AIDS'],"Comparative Study, Journal Article, Research Support, N.I.H., Extramural","To develop, compare, and statistically validate multiple machine learning models trained on curated public HIV datasets (from ChemDB) in order to identify promising drug candidates particularly inhibitors of HIV-1 reverse transcriptase (RT) that could potentially overcome resistance seen with current therapies.","Current reverse transcriptase inhibitors are increasingly becoming ineffective due to the rapid emergence of drug-resistant HIV strains. Although public databases contain thousands of potential antiviral compounds, there is a lack of machine-learning-ready, well-curated datasets and a systematic comparison of ML methods to identify effective alternatives. This limits our ability to efficiently discover new drug candidates capable of overcoming resistance.","To use machine learning models to accurately predict compounds that inhibit HIV-1 reverse transcriptase (RT) and show cell-based antiviral activity, ultimately identifying new candidates that can overcome drug resistance."," The researchers began by curating data from the NIAID ChemDB, filtering for wild-type HIV strains and standardizing assay results. Chemical structures were encoded using extended-connectivity fingerprints (ECFP6), which served as molecular descriptors for model input. Seven machine learning algorithms were implemented, including AdaBoost, Random Forest, Support Vector Classification, k-Nearest Neighbors, Bernoulli Naive Bayes, deep neural networks, and Assay Central (a Bayesian modeling platform). Models were trained and optimized using stratified five-fold cross-validation, and externally validated using 24 diverse test sets. Performance was assessed across multiple metrics such as AUC, F1 score, MCC, and accuracy then normalized into a rank-based scoring system. Statistical significance of performance differences between models was tested using Wilcoxon matched-pairs signed-rank tests and Mann-Whitney U tests to ensure robust comparison.","deep neural networks (DL) were implemented using the Keras library to model compound activity against HIV-1 reverse transcriptase. Each network consisted of three hidden layers, and compound structures were encoded as extended-connectivity fingerprints (ECFP6), generated using RDKit. These fingerprints served as input features for the DL models. Unlike other machine learning methods in the study, hyperparameter tuning was not performed for DL due to computational cost; instead, a previously optimized set of hyperparameters from earlier studies was used. Model performance was evaluated using stratified five-fold cross-validation, which preserved the ratio of active to inactive compounds across folds. The predictive ability of the DL models was assessed using several metrics, including AUC, F1 score, accuracy, precision, recall, Matthews Correlation Coefficient (MCC), and Cohen’s Kappa (CK).
","['Support Vector Classification', 'Deep Neural Networks (DL)']",No,No," identifying small molecules that are active inhibitors of HIV-1 RT, and potentially effective as antiviral drugs against drug-resistant strains of HIV",Structured tabular data (HIV-1 wild-type cell-based and reverse transcriptase DNA polymerase inhibition assays),"NIAID ChemDB HIV, Opportunistic Infection and Tuberculosis Therapeutics Database",Yes,"The performance of the deep neural network (DNN) model in this study was evaluated using stratified five-fold cross-validation and 24 external test set comparisons. The DNN aimed to classify compounds as active or inactive against HIV-1 RT and cell-based inhibition assays. Performance was measured using standard classification metrics, including AUC, F1 score , accuracy, MCC, and Cohen’s Kappa. Additionally, rank normalized scores (RNS) and ?RNS were used to summarize performance across all metrics. The DNN was among the top-performing models, showing statistically comparable results to Support Vector Classification (SVC), and significantly outperforming several other algorithms, including Naive Bayes and k-Nearest Neighbors.","{""AUC"", ""F1 Score"", ""Accuracy"",  ""MCC"", ""Cohen's Kappa""}","{""AUC"": 0.91, ""F1 Score"": 0.82, ""Accuracy"": 0.85, ""MCC"": 0.65, ""Cohen's Kappa"": 0.61}",
29,"Ni Q, Sun ZY, Qi L, Chen W, Yang Y, Wang L, Zhang X, Yang L, Fang Y, Xing Z, Zhou Z, Yu Y, Lu GM, Zhang LJ.",2020,"Department of Medical Imaging, Jinling Hospital, Medical School of Nanjing University, Nanjing, 210002, Jiangsu, China.",A deep learning approach to characterize 2019 coronavirus disease (COVID-19) pneumonia in chest CT images,Eur Radiol,Respiratory Virology,['COVID-19'],"Comparative Study, Journal Article, Multicenter Study","To develop and validate a deep learning-based algorithm that can automatically detect, segment, and localize pneumonia lesions in chest CT images of COVID-19 patients, and to compare its diagnostic performance (sensitivity, specificity, accuracy, F1 score, etc.) with radiological residents, using experienced radiologists reports as a reference standard.","There is a critical need for an accurate and efficient method to detect COVID-19 pneumonia in CT scans due to limitations in current diagnostic tools and human workload, and deep learning could fill this gap but needs to be rigorously validated.","develop a deep learning-based system capable of automatically detecting, segmenting, and localizing pneumonia lesions in chest CT images of COVID-19 patients, while also providing quantitative assessments such as lesion volume, density, and anatomical location.","the researchers designed a multi-step AI pipeline. First, a convolutional MVP-Net was used for abnormality detection by incorporating multi-view CT image features and applying a channel-wise attention mechanism to enhance diagnostic accuracy. Next, a 3D U-Net was employed for voxel-wise lesion segmentation, allowing for precise volume and intensity measurements. Finally, another 3D U-Net, trained with anatomical priors and a smooth margin loss, performed pulmonary lobe segmentation to localize lesions within specific lung regions. The system was trained and validated on over 19,291 CT scans from 14,435 individuals and tested on a separate cohort of 96 confirmed COVID-19 patients to evaluate its performance against radiology residents.","The system integrates two core architectures: MVP-Net, which detects pneumonia lesions by analyzing multi-view CT inputs (e.g., soft tissue and lung windows) and using a channel-wise attention mechanism to fuse features across views; and 3D U-Net, which performs voxel-level segmentation of lesions and anatomical lung lobe segmentation. Lesion detection involves identifying candidate abnormal regions, followed by segmentation of those regions into detailed lesion masks using 3D U-Net. A second 3D U-Net, guided by anatomical priors and trained with smooth margin loss, segments lung lobes to localize lesions by lobe. The model was trained and validated on a large, diverse dataset of 19,291 CT scans from 14,435 patients, including confirmed COVID-19, other pneumonia types, and healthy controls. Only high-quality scans with ?2 mm slice thickness were included, and the model was tested on a fully independent dataset of 96 RT-PCR–confirmed COVID-19 cases from three hospitals to ensure robustness. Although specific hyperparameters were not disclosed, model training was informed by anatomical consistency metrics and clinical knowledge such as lesion distribution patterns. The system performs without human input, processes each scan in approximately 20.3 seconds, and outputs lesion classification, segmentation maps, volumetric measurements, CT intensity values, and spatial localizationsupporting rapid, quantitative, and interpretable diagnostics.",[Deepwise AI-Pneumonia Detection System - two key neural network architectures: MVP-Net (Multi-View Feature Pyramid Network) and 3D U-Net. ],No,No,Automated identification and quantitative evaluation of COVID-19 pneumonia severity using chest CT imaging,CT Images,Ni et.al,Yes,"The performance of the AI system was rigorously evaluated on both a per-patient and per-lung lobe basis using multiple metrics, including accuracy, sensitivity, specificity, positive predictive value (PPV), negative predictive value (NPV), F1 score, and processing time per scan. Additionally, Area Under the ROC Curve (AUC) was used to assess performance in AI-assisted diagnosis scenarios. The reference standard for evaluation was established by two senior radiologists with 37 and 18 years of experience, who reached a consensus diagnosis based on clinical, laboratory, and CT imaging data. The AI model’s performance was compared against three radiology residents with 2, 5, and 6 years of experience. Both the standalone AI performance and the combined performance of radiologists aided by AI were assessed. Statistical significance was tested using Chi-square tests with Bonferroni correction and t-tests, and the evaluation was supported by confusion matrices and ROC curve analysis."," {""Accuracy"", ""Sensitivity"", ""Specificity"", ""F1 Score"",  ""PPV"", ""NPV"",  ""Processing_Time_sec"", ""AUC""}","{""Per_Patient"": {""Accuracy"": 0.94, ""Sensitivity"": 1.00, ""Specificity"": 0.25, ""PPV"": 0.94, ""NPV"": 1.00, ""F1_Score"": 0.97, ""Processing_Time_sec"": 20.3, ""AUC"": 0.86}, ""Per_Lung_Lobe"": {""Accuracy"": 0.82, ""Sensitivity"": 0.96, ""Specificity"": 0.63, ""PPV"": 0.78, ""NPV"": 0.93, ""F1_Score"": 0.86, ""AUC"": 0.87}}",
30,"Abade A, Porto LF, Scholze AR, Kuntath D, Barros NDS, Berra TZ, Ramos ACV, ArcÃªncio RA, Alves JD.",2024,"Federal Institute of Education, Science and Technology of Mato Grosso, Department of Computer Science, Campus Barra do GarÃ§as, Barra do GarÃ§as, Mato Grosso, Brazil. andre.abade@ifmt.edu.br.",A comparative analysis of classical and machine learning methods for forecasting TB/HIV co-infection,Sci Rep,General Virology,"['Tuberculosis', 'HIV']","Journal Article, Comparative Study","Predicting the spread of tuberculosis and HIV in Mato Grosso, Brazil.",Analyzing epidemiological data to understand the dynamics of TB/HIV transmission in a specific region.,To apply machine learning techniques for predicting the spread of TB/HIV using epidemiological data.,Deep learning approach using convolutional neural networks (CNNs) and recurrent neural networks (RNNs).,"The model uses a combination of CNNs and RNNs to extract features from the epidemiological data, including demographic information, disease incidence rates, and environmental factors.",['Supervised Learning'],No,No,predicting the incidence of TB/HIV co-infection cases using various forecasting models,Epidemiological data (structured tabular data),TB/HIV cases in Mato Grosso reported to SINAN,Yes,"The performance was measured using accuracy, with a value of 0.95 as reported.","{'accuracy': 0.85, 'f1-score': 0.92, 'roc_auc': 0.95}","{'accuracy': 0.85, 'f1-score': 0.92, 'roc_auc': 0.95}",
31,"Hussain Z, Sheikh Z, Tahir A, Dashtipour K, Gogate M, Sheikh A, Hussain A.",2022,"Edinburgh Medical School, College of Medicine and Veterinary Medicine, University of Edinburgh, Edinburgh, United Kingdom.",Artificial Intelligence-Enabled Social Media Analysis for Pharmacovigilance of COVID-19 Vaccinations in the United Kingdom: Observational Study,JMIR Public Health Surveill,Respiratory Virology,['COVID-19'],"Journal Article, Observational Study, Research Support, Non-U.S. Gov't",To assess the frequency and nature of AEFI-related mentions on social media in the UK and analyze public sentiments toward COVID-19 vaccines.,"Vaccine hesitancy due to concerns about adverse effects following immunization (AEFIs) remains a significant challenge in the COVID-19 vaccination campaign, especially as new vaccines are introduced and public trust is shaped by emerging information. Traditional pharmacovigilance systems may not capture real-time public concerns, highlighting the need for complementary approaches like social media analysis to monitor AEFI-related discussions and sentiments.","To automatically detect, classify, and analyze public sentiment regarding COVID-19 vaccines and adverse effects following immunization (AEFIs) using artificial intelligence techniques on large-scale social media data (Twitter and Facebook).","The study combined rule-based and deep learning techniques to analyze public discourse on COVID-19 vaccines in the United Kingdom. To identify mentions of adverse effects following immunization (AEFIs), the researchers employed a keyword-based rule-driven approach, using symptom lists informed by official pharmacovigilance systems such as the UK Yellow Card and US VAERS. These AEFI-related keywords were used to filter posts from Facebook and Twitter, enabling frequency analysis and temporal trend monitoring of commonly and rarely reported vaccine side effects. In parallel, sentiment analysis was performed using a hybrid ensemble model that integrated lexicon-based tools (VADER and TextBlob) with a deep learning classifier based on BERT (Bidirectional Encoder Representations from Transformers). The lexicon models were weighted (VADER × 0.45 + TextBlob × 0.55) to prioritize positive sentiment accuracy, while BERT was leveraged for classifying neutral and negative sentiments. A rule-based decision system selected the final sentiment classification by favoring lexicon outputs for positive sentiment and BERT predictions otherwise. This combination enabled accurate tracking of both public sentiment and safety concerns regarding COVID-19 vaccines on social media during the early phase of the UK vaccination campaign.","BERT was used to classify the sentiment polarity (positive, neutral, or negative) of social media posts related to COVID-19 vaccines and adverse effects following immunization (AEFIs). The model was particularly effective at capturing context-dependent meaning in posts and performed better than rule-based models for detecting neutral and negative sentiments. As part of a hybrid ensemble, BERT’s output was conditionally selected whenever the lexicon-based sentiment estimation did not indicate a clear positive sentiment. This integration of BERT ensured more accurate classification of nuanced or complex language found in social media discourse. Although the study does not detail fine-tuning specifics (e.g., learning rate, batch size), it builds on a previously validated use of BERT for public health sentiment analysis in earlier research by the authors.",BERT-based Sentiment Classification Model,No,No,Monitoring and analyzing adverse effects following immunization (AEFIs) for COVID-19 vaccines and assessing public sentiment toward those vaccines,Text data,Hussain et.al,Yes,"two main outcomes were measured: the frequency of adverse effects following immunization (AEFI) mentions on social media and public sentiment toward COVID-19 vaccines. AEFI detection was performed using a rule-based keyword filtering approach, with no machine learning model involved, and evaluated using descriptive statistics such as post counts and temporal trends. Sentiment analysis, on the other hand, was conducted using a hybrid ensemble model combining lexicon-based tools (VADER, TextBlob) and a deep learning model (BERT). While the ensemble model classified posts as positive, neutral, or negative, the study did not report traditional performance metrics like accuracy or F1 score, as the model had been previously validated in earlier work. The sentiment distribution across posts were reported.",{'Insights and trends in sentiment'},"{""Positive Sentiment"": ""58%"", ""Negative Sentiment"": ""22%"", ""Neutral Sentiment"": ""19%""}",
