Authors,Year of publication,Title of article,Name of Publication/Journal,Title,authors,category,date,Abstract,doi,source_file,Combined_Text,Is_infectious,Is_infectious
"Beguir, K.; Skwark, M. J.; Fu, Y.; Pierrot, T.; Lopez Carranza, S. N.; Laterre, A.; Kadri, I.; Korched, A.; Lowegard, A. U.; Lui, B. G.; Sanger, B.; Liu, Y.; Poran, A.; Muik, A.; Sahin, U.",2022,Early Computational Detection of Potential High Risk SARS-CoV-2 Variants,Bioinformatics,Early Computational Detection of Potential High Risk SARS-CoV-2 Variants,"Beguir, K.; Skwark, M. J.; Fu, Y.; Pierrot, T.; Lopez Carranza, S. N.; Laterre, A.; Kadri, I.; Korched, A.; Lowegard, A. U.; Lui, B. G.; Sanger, B.; Liu, Y.; Poran, A.; Muik, A.; Sahin, U.",Bioinformatics,2022-09-20 00:00:00 UTC,"The ongoing COVID-19 pandemic is leading to the discovery of hundreds of novel SARS-CoV-2 variants on a daily basis. While most variants do not impact the course of the pandemic, some variants pose a significantly increased risk when the acquired mutations allow better evasion of antibody neutralisation in previously infected or vaccinated subjects or increased transmissibility. Early detection of such high risk variants (HRVs) is paramount for the proper management of the pandemic. However, experimental assays to determine immune evasion and transmissibility characteristics of new variants are resource-intensive and time-consuming, potentially leading to delays in appropriate responses by decision makers. Here we present a novel in silico approach combining spike (S) protein structure modelling and large protein transformer language models on S protein sequences to accurately rank SARS-CoV-2 variants for immune escape and fitness potential. These metrics can be combined into an automated Early Warning System (EWS) capable of evaluating new variants in minutes and risk-monitoring variant lineages in near real-time. The system accurately pinpoints the putatively dangerous variants by selecting on average less than 0.3% of the novel variants each week. With only the S protein nucleotide sequence as input, the EWS detects HRVs earlier and with better precision than baseline metrics such as the growth metric (which requires real-world observations) or random sampling. Notably, Omicron BA.1 was flagged by the EWS on the day its sequence was made available. Additionally, our immune escape and fitness metrics were experimentally validated using in vitro pseudovirus-based virus neutralisation test (pVNT) assays and binding assays. The EWS flagged as potentially dangerous all 16 variants (Alpha-Omicron BA.1/2/4/5) designated by the World Health Organisation (WHO) with an average lead time of more than one and a half months ahead of them being designated as such.

One-Sentence SummaryA COVID-19 Early Warning System combining structural modelling with machine learning to detect and monitor high risk SARS-CoV-2 variants, identifying all 16 WHO designated variants on average more than one and a half months in advance by selecting on average less than 0.3% of the weekly novel variants.",10.1101/2021.12.24.474095,virology-llm.xlsx,"Early Computational Detection of Potential High Risk SARS-CoV-2 Variants The ongoing COVID-19 pandemic is leading to the discovery of hundreds of novel SARS-CoV-2 variants on a daily basis. While most variants do not impact the course of the pandemic, some variants pose a significantly increased risk when the acquired mutations allow better evasion of antibody neutralisation in previously infected or vaccinated subjects or increased transmissibility. Early detection of such high risk variants (HRVs) is paramount for the proper management of the pandemic. However, experimental assays to determine immune evasion and transmissibility characteristics of new variants are resource-intensive and time-consuming, potentially leading to delays in appropriate responses by decision makers. Here we present a novel in silico approach combining spike (S) protein structure modelling and large protein transformer language models on S protein sequences to accurately rank SARS-CoV-2 variants for immune escape and fitness potential. These metrics can be combined into an automated Early Warning System (EWS) capable of evaluating new variants in minutes and risk-monitoring variant lineages in near real-time. The system accurately pinpoints the putatively dangerous variants by selecting on average less than 0.3% of the novel variants each week. With only the S protein nucleotide sequence as input, the EWS detects HRVs earlier and with better precision than baseline metrics such as the growth metric (which requires real-world observations) or random sampling. Notably, Omicron BA.1 was flagged by the EWS on the day its sequence was made available. Additionally, our immune escape and fitness metrics were experimentally validated using in vitro pseudovirus-based virus neutralisation test (pVNT) assays and binding assays. The EWS flagged as potentially dangerous all 16 variants (Alpha-Omicron BA.1/2/4/5) designated by the World Health Organisation (WHO) with an average lead time of more than one and a half months ahead of them being designated as such.

One-Sentence SummaryA COVID-19 Early Warning System combining structural modelling with machine learning to detect and monitor high risk SARS-CoV-2 variants, identifying all 16 WHO designated variants on average more than one and a half months in advance by selecting on average less than 0.3% of the weekly novel variants.",0,1
"Petousis, P.; Stylianou, V.",2022,A Big Data COVID-19 literature pattern discovery using NLP,Bioinformatics,A Big Data COVID-19 literature pattern discovery using NLP,"Petousis, P.; Stylianou, V.",Bioinformatics,2022-06-03 00:00:00 UTC,"As our collective knowledge about COVID-19 continues to grow at an exponential rate, it becomes more difficult to organize and observe emerging trends. In this work, we built an open source methodology that uses topic modeling and a pretrained BERT model to organize large corpora of COVID-19 publications into topics over time and over location. Additionally, it assesses the association of medical keywords against COVID-19 over time. These analyses are then automatically pushed into an open source web application that allows a user to obtain actionable insights from across the globe.",10.1101/2022.06.01.494451,virology-llm.xlsx,"A Big Data COVID-19 literature pattern discovery using NLP As our collective knowledge about COVID-19 continues to grow at an exponential rate, it becomes more difficult to organize and observe emerging trends. In this work, we built an open source methodology that uses topic modeling and a pretrained BERT model to organize large corpora of COVID-19 publications into topics over time and over location. Additionally, it assesses the association of medical keywords against COVID-19 over time. These analyses are then automatically pushed into an open source web application that allows a user to obtain actionable insights from across the globe.",1,1
"Zvyagin, M. T.; Brace, A.; Hippe, K.; Deng, Y.; Zhang, B.; Orozco Bohorquez, C.; Clyde, A.; Kale, B.; Perez-Rivera, D.; Ma, H.; Mann, C. M.; Irvin, M.; Pauloski, J. G.; Ward, L.; Hayot, V.; Emani, M.; Foreman, S.; Xie, Z.; Lin, D.; Shukla, M.; Nie, W.; Romero, J.; Dallago, C.; Vahdat, A.; Xiao, C.; Gibbs, T.; Foster, I.; Davis, J. J.; Papka, M. E.; Brettin, T.; Anandkumar, A.; Vishwanath, V.; Ramanathan, A.",2022,GenSLMs: Genome-scale language models reveal SARS-CoV-2 evolutionary dynamics.,Bioinformatics,GenSLMs: Genome-scale language models reveal SARS-CoV-2 evolutionary dynamics.,"Zvyagin, M. T.; Brace, A.; Hippe, K.; Deng, Y.; Zhang, B.; Orozco Bohorquez, C.; Clyde, A.; Kale, B.; Perez-Rivera, D.; Ma, H.; Mann, C. M.; Irvin, M.; Pauloski, J. G.; Ward, L.; Hayot, V.; Emani, M.; Foreman, S.; Xie, Z.; Lin, D.; Shukla, M.; Nie, W.; Romero, J.; Dallago, C.; Vahdat, A.; Xiao, C.; Gibbs, T.; Foster, I.; Davis, J. J.; Papka, M. E.; Brettin, T.; Anandkumar, A.; Vishwanath, V.; Ramanathan, A.",Bioinformatics,2022-11-23 00:00:00 UTC,"We seek to transform how new and emergent variants of pandemiccausing viruses, specifically SARS-CoV-2, are identified and classified. By adapting large language models (LLMs) for genomic data, we build genome-scale language models (GenSLMs) which can learn the evolutionary landscape of SARS-CoV-2 genomes. By pretraining on over 110 million prokaryotic gene sequences and finetuning a SARS-CoV-2-specific model on 1.5 million genomes, we show that GenSLMs can accurately and rapidly identify variants of concern. Thus, to our knowledge, GenSLMs represents one of the first whole genome scale foundation models which can generalize to other prediction tasks. We demonstrate scaling of GenSLMs on GPU-based supercomputers and AI-hardware accelerators utilizing 1.63 Zettaflops in training runs with a sustained performance of 121 PFLOPS in mixed precision and peak of 850 PFLOPS. We present initial scientific insights from examining GenSLMs in tracking evolutionary dynamics of SARS-CoV-2, paving the path to realizing this on large biological data.",10.1101/2022.10.10.511571,virology-llm.xlsx,"GenSLMs: Genome-scale language models reveal SARS-CoV-2 evolutionary dynamics. We seek to transform how new and emergent variants of pandemiccausing viruses, specifically SARS-CoV-2, are identified and classified. By adapting large language models (LLMs) for genomic data, we build genome-scale language models (GenSLMs) which can learn the evolutionary landscape of SARS-CoV-2 genomes. By pretraining on over 110 million prokaryotic gene sequences and finetuning a SARS-CoV-2-specific model on 1.5 million genomes, we show that GenSLMs can accurately and rapidly identify variants of concern. Thus, to our knowledge, GenSLMs represents one of the first whole genome scale foundation models which can generalize to other prediction tasks. We demonstrate scaling of GenSLMs on GPU-based supercomputers and AI-hardware accelerators utilizing 1.63 Zettaflops in training runs with a sustained performance of 121 PFLOPS in mixed precision and peak of 850 PFLOPS. We present initial scientific insights from examining GenSLMs in tracking evolutionary dynamics of SARS-CoV-2, paving the path to realizing this on large biological data.",1,1
"Chen, J.; Nie, Z.; Wang, Y.; Wang, K.; Xu, F.; Hu, Z.; Zheng, B.; Wang, Z.; Song, G.; Zhang, J.; Fu, J.; Huang, X.; Wang, Z.; Ren, Z.; Wang, Q.; Li, D.; Wei, D.; Zhou, B.; Yang, C.; Tian, Y.; Gao, W.",2023,Running ahead of evolution - AI based simulation for predicting future high-risk SARS-CoV-2 variants,Bioinformatics,Running ahead of evolution - AI based simulation for predicting future high-risk SARS-CoV-2 variants,"Chen, J.; Nie, Z.; Wang, Y.; Wang, K.; Xu, F.; Hu, Z.; Zheng, B.; Wang, Z.; Song, G.; Zhang, J.; Fu, J.; Huang, X.; Wang, Z.; Ren, Z.; Wang, Q.; Li, D.; Wei, D.; Zhou, B.; Yang, C.; Tian, Y.; Gao, W.",Bioinformatics,2023-01-12 00:00:00 UTC,"The never-ending emergence of SARS-CoV-2 variations of concern (VOCs) has challenged the whole world for pandemic control. In order to develop effective drugs and vaccines, one needs to efficiently simulate SARS-CoV-2 spike receptor binding domain (RBD) mutations and identify high-risk variants. We pretrain a large protein language model with approximately 408 million protein sequences and construct a high-throughput screening for the prediction of binding affinity and antibody escape. As the first work on SARS-CoV-2 RBD mutation simulation, we successfully identify mutations in the RBD regions of 5 VOCs and can screen millions of potential variants in seconds. Our workflow scales to 4096 NPUs with 96.5% scalability and 493.9x speedup in mixed precision computing, while achieving a peak performance of 366.8 PFLOPS (reaching 34.9% theoretical peak) on Pengcheng Cloudbrain-II. Our method paves the way for simulating coronavirus evolution in order to prepare for a future pandemic that will inevitably take place. Our models are released at https://github.com/ZhiweiNiepku/SARS-CoV-2_mutation_simulation to facilitate future related work.

JustificationWe develop a novel multi-constraint variation prediction framework to simulate SARS-CoV-2 RBD mutations, reaching a peak performance of 366.8 PFLOPS with 96.5% scalability and achieving 493.9x speedup. Our method facilitates the prediction and prioritization of future high-risk variants for the early deployment of drugs and vaccines.

Performance attributes

O_TBL View this table:
org.highwire.dtl.DTLVardef@1b1873aorg.highwire.dtl.DTLVardef@25314eorg.highwire.dtl.DTLVardef@1c80130org.highwire.dtl.DTLVardef@1c61b21org.highwire.dtl.DTLVardef@11f21c5_HPS_FORMAT_FIGEXP  M_TBL C_TBL Overview of the problemCoronavirus Disease 2019 (COVID-19) has spread rapidly to more than 200 countries or regions since December 2019. Due to its high infectivity, there have been over 645 million confirmed cases, including approximately 6.6 million deaths, reported by the World Health Organization (WHO) as of December 20221. In addition to being a serious threat to human health, COVID-19 has had a catastrophic impact on the global economy.",10.1101/2022.11.17.516989,virology-llm.xlsx,"Running ahead of evolution - AI based simulation for predicting future high-risk SARS-CoV-2 variants The never-ending emergence of SARS-CoV-2 variations of concern (VOCs) has challenged the whole world for pandemic control. In order to develop effective drugs and vaccines, one needs to efficiently simulate SARS-CoV-2 spike receptor binding domain (RBD) mutations and identify high-risk variants. We pretrain a large protein language model with approximately 408 million protein sequences and construct a high-throughput screening for the prediction of binding affinity and antibody escape. As the first work on SARS-CoV-2 RBD mutation simulation, we successfully identify mutations in the RBD regions of 5 VOCs and can screen millions of potential variants in seconds. Our workflow scales to 4096 NPUs with 96.5% scalability and 493.9x speedup in mixed precision computing, while achieving a peak performance of 366.8 PFLOPS (reaching 34.9% theoretical peak) on Pengcheng Cloudbrain-II. Our method paves the way for simulating coronavirus evolution in order to prepare for a future pandemic that will inevitably take place. Our models are released at https://github.com/ZhiweiNiepku/SARS-CoV-2_mutation_simulation to facilitate future related work.

JustificationWe develop a novel multi-constraint variation prediction framework to simulate SARS-CoV-2 RBD mutations, reaching a peak performance of 366.8 PFLOPS with 96.5% scalability and achieving 493.9x speedup. Our method facilitates the prediction and prioritization of future high-risk variants for the early deployment of drugs and vaccines.

Performance attributes

O_TBL View this table:
org.highwire.dtl.DTLVardef@1b1873aorg.highwire.dtl.DTLVardef@25314eorg.highwire.dtl.DTLVardef@1c80130org.highwire.dtl.DTLVardef@1c61b21org.highwire.dtl.DTLVardef@11f21c5_HPS_FORMAT_FIGEXP  M_TBL C_TBL Overview of the problemCoronavirus Disease 2019 (COVID-19) has spread rapidly to more than 200 countries or regions since December 2019. Due to its high infectivity, there have been over 645 million confirmed cases, including approximately 6.6 million deaths, reported by the World Health Organization (WHO) as of December 20221. In addition to being a serious threat to human health, COVID-19 has had a catastrophic impact on the global economy.",1,1
"Kang, Y.; Jiao, Y.; Jin, K.; Pan, L.",2023,"AI-Designed, Mutation-Resistant Broad Neutralizing Antibodies Against Multiple SARS-CoV-2 Strains",Bioinformatics,"AI-Designed, Mutation-Resistant Broad Neutralizing Antibodies Against Multiple SARS-CoV-2 Strains","Kang, Y.; Jiao, Y.; Jin, K.; Pan, L.",Bioinformatics,2023-03-27 00:00:00 UTC,"In this study, we generated a Digital Twin for SARS-CoV-2 by integrating data and meta-data with multiple data types and processing strategies, including machine learning, natural language processing, protein structural modeling, and protein sequence language modeling. This approach enabled the computational design of broadly neutralizing antibodies against over 1300 different historical strains of SARS-COV-2 containing 64 mutations in the receptor binding domain (RBD) region. The AI-designed antibodies were experimentally validated in real-virus neutralization assays against multiple strains including the newer Omicron strains that were not included in the initial design base. Many of these antibodies demonstrate strong binding capability in ELISA assays against the RBD of multiple strains. These results could help shape future therapeutic design for existing strains, as well as predicting hidden patterns in viral evolution that can be learned by AI for developing future antiviral treatments.",10.1101/2023.03.25.534209,virology-llm.xlsx,"AI-Designed, Mutation-Resistant Broad Neutralizing Antibodies Against Multiple SARS-CoV-2 Strains In this study, we generated a Digital Twin for SARS-CoV-2 by integrating data and meta-data with multiple data types and processing strategies, including machine learning, natural language processing, protein structural modeling, and protein sequence language modeling. This approach enabled the computational design of broadly neutralizing antibodies against over 1300 different historical strains of SARS-COV-2 containing 64 mutations in the receptor binding domain (RBD) region. The AI-designed antibodies were experimentally validated in real-virus neutralization assays against multiple strains including the newer Omicron strains that were not included in the initial design base. Many of these antibodies demonstrate strong binding capability in ELISA assays against the RBD of multiple strains. These results could help shape future therapeutic design for existing strains, as well as predicting hidden patterns in viral evolution that can be learned by AI for developing future antiviral treatments.",0,1
"Odlum, M.; Yoon, S.",2017,Health Information Needs and Health Seeking Behavior during the 2014-2016 Ebola Outbreak: A Twitter Content Analysis,Bioinformatics,Health Information Needs and Health Seeking Behavior during the 2014-2016 Ebola Outbreak: A Twitter Content Analysis,"Odlum, M.; Yoon, S.",Bioinformatics,2017-01-27 00:00:00 UTC,"IntroductionFor effective public communication during major disease outbreaks like the 2014-2016 Ebola epidemic, health information needs of the population must be adequately assessed. Through content analysis of social media data, like tweets, public health information needs can be effectively assessed and in turn provide appropriate health information to effectively address such needs. The aim of the current study was to assess health information needs about Ebola, at distinct epidemic time points, through longitudinal tracking.\n\nMethodsNatural language processing was applied to explore public response to Ebola over time from the beginning of the outbreak (July 2014) to six month post outbreak (March 2015). A total 155,647 tweets (unique 68,736, retweet 86,911) mentioning Ebola were analyzed and visualized with infographics.\n\nResultsPublic fear, frustration, and health information seeking regarding Ebola-related global priorities were observed across time. Our longitudinal content analysis revealed that due to ongoing health information deficiencies, resulting in fear and frustration, social media was at times an impediment and not a vehicle to support health information needs.\n\nDiscussionContent analysis of tweets effectively assessed Ebola information needs. Our study also demonstrates the use of Twitter as a method for capturing real-time data to assess ongoing information needs, fear, and frustration over time.\n\nAll authors have seen and approved the manuscript.",10.1101/103515,virology-natural-language-processing.xlsx,"Health Information Needs and Health Seeking Behavior during the 2014-2016 Ebola Outbreak: A Twitter Content Analysis IntroductionFor effective public communication during major disease outbreaks like the 2014-2016 Ebola epidemic, health information needs of the population must be adequately assessed. Through content analysis of social media data, like tweets, public health information needs can be effectively assessed and in turn provide appropriate health information to effectively address such needs. The aim of the current study was to assess health information needs about Ebola, at distinct epidemic time points, through longitudinal tracking.\n\nMethodsNatural language processing was applied to explore public response to Ebola over time from the beginning of the outbreak (July 2014) to six month post outbreak (March 2015). A total 155,647 tweets (unique 68,736, retweet 86,911) mentioning Ebola were analyzed and visualized with infographics.\n\nResultsPublic fear, frustration, and health information seeking regarding Ebola-related global priorities were observed across time. Our longitudinal content analysis revealed that due to ongoing health information deficiencies, resulting in fear and frustration, social media was at times an impediment and not a vehicle to support health information needs.\n\nDiscussionContent analysis of tweets effectively assessed Ebola information needs. Our study also demonstrates the use of Twitter as a method for capturing real-time data to assess ongoing information needs, fear, and frustration over time.\n\nAll authors have seen and approved the manuscript.",1,1
"Jelodar, H.; Wang, Y.; Orji, R.; Huang, H.",2020,Deep Sentiment Classification and Topic Discovery on Novel Coronavirus or COVID-19 Online Discussions: NLP Using LSTM Recurrent Neural Network Approach,Bioinformatics,Deep Sentiment Classification and Topic Discovery on Novel Coronavirus or COVID-19 Online Discussions: NLP Using LSTM Recurrent Neural Network Approach,"Jelodar, H.; Wang, Y.; Orji, R.; Huang, H.",Bioinformatics,2020-04-24 00:00:00 UTC,"Internet forums and public social media, such as online healthcare forums, provide a convenient channel for users (people/patients) concerned about health issues to discuss and share information with each other. In late December 2019, an outbreak of a novel coronavirus (infection from which results in the disease named COVID-19) was reported, and, due to the rapid spread of the virus in other parts of the world, the World Health Organization declared a state of emergency. In this paper, we used automated extraction of COVID-19-related discussions from social media and a natural language process (NLP) method based on topic modeling to uncover various issues related to COVID-19 from public opinions. Moreover, we also investigate how to use LSTM recurrent neural network for sentiment classification of COVID-19 comments. Our findings shed light on the importance of using public opinions and suitable computational techniques to understand issues surrounding COVID-19 and to guide related decision-making.",10.1101/2020.04.22.054973,virology-natural-language-processing.xlsx,"Deep Sentiment Classification and Topic Discovery on Novel Coronavirus or COVID-19 Online Discussions: NLP Using LSTM Recurrent Neural Network Approach Internet forums and public social media, such as online healthcare forums, provide a convenient channel for users (people/patients) concerned about health issues to discuss and share information with each other. In late December 2019, an outbreak of a novel coronavirus (infection from which results in the disease named COVID-19) was reported, and, due to the rapid spread of the virus in other parts of the world, the World Health Organization declared a state of emergency. In this paper, we used automated extraction of COVID-19-related discussions from social media and a natural language process (NLP) method based on topic modeling to uncover various issues related to COVID-19 from public opinions. Moreover, we also investigate how to use LSTM recurrent neural network for sentiment classification of COVID-19 comments. Our findings shed light on the importance of using public opinions and suitable computational techniques to understand issues surrounding COVID-19 and to guide related decision-making.",1,1
"Koksal, A.; Donmez, H.; Ozcelik, R.; Ozkirimli, E.; Ozgur, A.",2020,Vapur: A Search Engine to Find Related Protein - Compound Pairs in COVID-19 Literature,Bioinformatics,Vapur: A Search Engine to Find Related Protein - Compound Pairs in COVID-19 Literature,"Koksal, A.; Donmez, H.; Ozcelik, R.; Ozkirimli, E.; Ozgur, A.",Bioinformatics,2020-10-13 00:00:00 UTC,"Coronavirus Disease of 2019 (COVID-19) created dire consequences globally and triggered an intense scientific effort from different domains. The resulting publications created a huge text collection in which finding the studies related to a biomolecule of interest is challenging for general purpose search engines because the publications are rich in domain specific terminology. Here, we present Vapur: an online COVID-19 search engine specifically designed to find related protein - chemical pairs. Vapur is empowered with a relation-oriented inverted index that is able to retrieve and group studies for a query biomolecule with respect to its related entities. The inverted index of Vapur is automatically created with a BioNLP pipeline and integrated with an online user interface. The online interface is designed for the smooth traversal of the current literature by domain researchers and is publicly available at https://tabilab.cmpe.boun.edu.tr/vapur/.",10.1101/2020.09.05.284224,virology-natural-language-processing.xlsx,"Vapur: A Search Engine to Find Related Protein - Compound Pairs in COVID-19 Literature Coronavirus Disease of 2019 (COVID-19) created dire consequences globally and triggered an intense scientific effort from different domains. The resulting publications created a huge text collection in which finding the studies related to a biomolecule of interest is challenging for general purpose search engines because the publications are rich in domain specific terminology. Here, we present Vapur: an online COVID-19 search engine specifically designed to find related protein - chemical pairs. Vapur is empowered with a relation-oriented inverted index that is able to retrieve and group studies for a query biomolecule with respect to its related entities. The inverted index of Vapur is automatically created with a BioNLP pipeline and integrated with an online user interface. The online interface is designed for the smooth traversal of the current literature by domain researchers and is publicly available at https://tabilab.cmpe.boun.edu.tr/vapur/.",1,1
"Tyagin, I.; Kulshrestha, A.; Sybrandt, J.; Matta, K.; Shtutman, M.; Safro, I.",2021,Accelerating COVID-19 research with graph mining and transformer-based learning,Bioinformatics,Accelerating COVID-19 research with graph mining and transformer-based learning,"Tyagin, I.; Kulshrestha, A.; Sybrandt, J.; Matta, K.; Shtutman, M.; Safro, I.",Bioinformatics,2021-02-11 00:00:00 UTC,"In 2020, the White House released the, ""Call to Action to the Tech Community on New Machine Readable COVID-19 Dataset,"" wherein artificial intelligence experts are asked to collect data and develop text mining techniques that can help the science community answer high-priority scientific questions related to COVID-19. The Allen Institute for AI and collaborators announced the availability of a rapidly growing open dataset of publications, the COVID-19 Open Research Dataset (CORD-19). As the pace of research accelerates, biomedical scientists struggle to stay current. To expedite their investigations, scientists leverage hypothesis generation systems, which can automatically inspect published papers to discover novel implicit connections. We present an automated general purpose hypothesis generation systems AGATHA-C and AGATHA-GP for COVID-19 research. The systems are based on graph-mining and the transformer model. The systems are massively validated using retrospective information rediscovery and proactive analysis involving human-in-the-loop expert analysis. Both systems achieve high-quality predictions across domains (in some domains up to 0.97% ROC AUC) in fast computational time and are released to the broad scientific community to accelerate biomedical research. In addition, by performing the domain expert curated study, we show that the systems are able to discover on-going research findings such as the relationship between COVID-19 and oxytocin hormone.

ReproducibilityAll code, details, and pre-trained models are available at https://github.com/IlyaTyagin/AGATHA-C-GP

CCS CONCEPTS* Applied computing [-&gt;] Bioinformatics; Document management and text processing; * Computing methodologies [-&gt;] Learning latent representations; Neural networks; Information extraction; Semantic networks.",10.1101/2021.02.11.430789,virology-natural-language-processing.xlsx,"Accelerating COVID-19 research with graph mining and transformer-based learning In 2020, the White House released the, ""Call to Action to the Tech Community on New Machine Readable COVID-19 Dataset,"" wherein artificial intelligence experts are asked to collect data and develop text mining techniques that can help the science community answer high-priority scientific questions related to COVID-19. The Allen Institute for AI and collaborators announced the availability of a rapidly growing open dataset of publications, the COVID-19 Open Research Dataset (CORD-19). As the pace of research accelerates, biomedical scientists struggle to stay current. To expedite their investigations, scientists leverage hypothesis generation systems, which can automatically inspect published papers to discover novel implicit connections. We present an automated general purpose hypothesis generation systems AGATHA-C and AGATHA-GP for COVID-19 research. The systems are based on graph-mining and the transformer model. The systems are massively validated using retrospective information rediscovery and proactive analysis involving human-in-the-loop expert analysis. Both systems achieve high-quality predictions across domains (in some domains up to 0.97% ROC AUC) in fast computational time and are released to the broad scientific community to accelerate biomedical research. In addition, by performing the domain expert curated study, we show that the systems are able to discover on-going research findings such as the relationship between COVID-19 and oxytocin hormone.

ReproducibilityAll code, details, and pre-trained models are available at https://github.com/IlyaTyagin/AGATHA-C-GP

CCS CONCEPTS* Applied computing [-&gt;] Bioinformatics; Document management and text processing; * Computing methodologies [-&gt;] Learning latent representations; Neural networks; Information extraction; Semantic networks.",1,1
"Papageorgiou, L.; Papakonstantinou, E.; Diakou, I.; Pierouli, K.; Dragoumani, K.; Bacopoulou, F.; Chrousos, G. P.; Eliopoulos, E.; Vlachakis, D.",2022,Semantic and population analysis of the genetic targets related to COVID-19 and its association with genes and diseases,Bioinformatics,Semantic and population analysis of the genetic targets related to COVID-19 and its association with genes and diseases,"Papageorgiou, L.; Papakonstantinou, E.; Diakou, I.; Pierouli, K.; Dragoumani, K.; Bacopoulou, F.; Chrousos, G. P.; Eliopoulos, E.; Vlachakis, D.",Bioinformatics,2022-09-16 00:00:00 UTC,"SARS-CoV-2 is a coronavirus responsible for one of the most serious, modern worldwide pandemics, with lasting and multi-faceted effects. By late 2021, SARS-CoV-2 has infected more than 180 million people and has killed more than 3 million. The virus gains entrance to human cells through binding to ACE2 via its surface spike protein and causes a complex disease of the respiratory system, termed COVID-19. Vaccination efforts are being made to hinder the viral spread and therapeutics are currently under development. Towards this goal, scientific attention is shifting towards variants and SNPs that affect factors of the disease such as susceptibility and severity. This genomic grammar, tightly related to the dark part of our genome, can be explored through the use of modern methods such as natural language processing. We present a semantic analysis of SARS-CoV-2 related publications, which yielded a repertoire of SNPs, genes and disease ontologies. Population data from the 100Genomes Project were subsequently integrated into the pipeline. Data mining approaches of this scale have the potential to elucidate the complex interaction between COVID-19 pathogenesis and host genetic variation; the resulting knowledge can facilitate the management of high-risk groups and aid the efforts towards precision medicine.",10.1101/2022.09.16.508278,virology-natural-language-processing.xlsx,"Semantic and population analysis of the genetic targets related to COVID-19 and its association with genes and diseases SARS-CoV-2 is a coronavirus responsible for one of the most serious, modern worldwide pandemics, with lasting and multi-faceted effects. By late 2021, SARS-CoV-2 has infected more than 180 million people and has killed more than 3 million. The virus gains entrance to human cells through binding to ACE2 via its surface spike protein and causes a complex disease of the respiratory system, termed COVID-19. Vaccination efforts are being made to hinder the viral spread and therapeutics are currently under development. Towards this goal, scientific attention is shifting towards variants and SNPs that affect factors of the disease such as susceptibility and severity. This genomic grammar, tightly related to the dark part of our genome, can be explored through the use of modern methods such as natural language processing. We present a semantic analysis of SARS-CoV-2 related publications, which yielded a repertoire of SNPs, genes and disease ontologies. Population data from the 100Genomes Project were subsequently integrated into the pipeline. Data mining approaches of this scale have the potential to elucidate the complex interaction between COVID-19 pathogenesis and host genetic variation; the resulting knowledge can facilitate the management of high-risk groups and aid the efforts towards precision medicine.",1,1
"Kafkas, S.; Hoehndorf, R.",2018,Ontology based mining of pathogen-disease associations from literature,Bioinformatics,Ontology based mining of pathogen-disease associations from literature,"Kafkas, S.; Hoehndorf, R.",Bioinformatics,2018-10-08 00:00:00 UTC,"BackgroundInfectious diseases claim millions of lives especially in the developing countries each year, and resistance to drugs is an emerging threat worldwide. Identification of causative pathogens accurately and rapidly plays a key role in the success of treatment. To support infectious disease research and mechanisms of infection, there is a need for an open resource on pathogen-disease associations that can be utilized in computational studies. A large number of pathogen-disease associations is available from the literature in unstructured form and we need automated methods to extract the data.\n\nResultsWe developed a text mining system designed for extracting pathogen-disease relations from literature. Our approach utilizes background knowledge from an ontology and statistical methods for extracting associations between pathogens and diseases. In total, we extracted a total of 3,420 pathogen-disease associations from literature. We integrated our literature-derived associations into a database which links pathogens to their phenotypes for supporting infectious disease research.\n\nConclusionsTo the best of our knowledge, we present the first study focusing on extracting pathogen-disease associations from publications. We believe the text mined data can be utilized as a valuable resource for infectious disease research. All the data is publicly available from https://github.com/bio-ontology-research-group/padimi and through a public SPARQL endpoint from http://patho.phenomebrowser.net/.",10.1101/437558,virology-natural-language-processing.xlsx,"Ontology based mining of pathogen-disease associations from literature BackgroundInfectious diseases claim millions of lives especially in the developing countries each year, and resistance to drugs is an emerging threat worldwide. Identification of causative pathogens accurately and rapidly plays a key role in the success of treatment. To support infectious disease research and mechanisms of infection, there is a need for an open resource on pathogen-disease associations that can be utilized in computational studies. A large number of pathogen-disease associations is available from the literature in unstructured form and we need automated methods to extract the data.\n\nResultsWe developed a text mining system designed for extracting pathogen-disease relations from literature. Our approach utilizes background knowledge from an ontology and statistical methods for extracting associations between pathogens and diseases. In total, we extracted a total of 3,420 pathogen-disease associations from literature. We integrated our literature-derived associations into a database which links pathogens to their phenotypes for supporting infectious disease research.\n\nConclusionsTo the best of our knowledge, we present the first study focusing on extracting pathogen-disease associations from publications. We believe the text mined data can be utilized as a valuable resource for infectious disease research. All the data is publicly available from https://github.com/bio-ontology-research-group/padimi and through a public SPARQL endpoint from http://patho.phenomebrowser.net/.",1,1
