Sl. No,Authors,Year of publication,Primary affiliation of primary author,Title,Name of publication,Subdomain,Disease Name,doi,Type of evidence source,Research Aim,Research Problem,AI Objective,AI Methodology,AI Method Details,AI Method Type,Is software publicly released?,Software License,Virology AI task addressed,Type of Underlying Data,Dataset Name,Was Performance Measured,How was Performance measured and what was measured?,Performance metrics,Performance score
35,"Ge, Q.; Hu, Z.; Li, S.; Lin, W.; Jin, L.; Xiong, M.",2020,"School of Mathematical Sciences, SCMS, and SCAM, Fudan University, Shanghai 200433, China",A Novel Intervention Recurrent autoencoder for real time forecasting and non-pharmaceutical intervention selection to curb the spread of Covid-19 in the world,MedRxiv,Respiratory Virology,['COVID-19'],10.1101/2020.05.05.20091827,Research,develop an accurate and flexible AI-based framework to forecast the trajectory of COVID-19 transmission worldwide and evaluate the effectiveness of various public health interventions.,Predicting the effectiveness of different public health interventions to stop the spread of COVID-19,"design and implement a Recurrent Intervention Network (RIN), a deep learning architecture based on sequence-to-sequence Recurrent Neural Networks (RNNs), to model COVID-19 transmission dynamics and to evaluate the effects of multiple public health interventions over time. ","The study adopts a causal inference-inspired deep learning methodology using a sequence-to-sequence architecture called the Recurrent Intervention Network (RIN). The approach treats public health interventions as treatments and COVID-19 case counts as outcomes, transforming the intervention evaluation problem into a treatment response forecasting problem. The methodology involves training two components an encoder RNN to model past transmission dynamics and a decoder RNN to predict future case trajectories under various planned interventions. This enables both forecasting and counterfactual evaluation of different intervention strategies across multiple countries.","The AI method used in this study is the Recurrent Intervention Network (RIN), a sequence-to-sequence deep learning framework designed for time series forecasting and counterfactual outcome estimation. It consists of two main components: an encoder RNN (or LSTM) that learns hidden representations from historical COVID-19 data, and a decoder RNN (or LSTM) that uses these learned features along with a planned sequence of public health interventions to predict future case numbers. The encoder is trained on past observed data to capture the transmission dynamics, while the decoder forecasts future case trajectories under various intervention scenarios. The model uses mean squared error (MSE) as the loss function and is trained using the Adam optimizer. Input data includes the number of new COVID-19 cases and a continuous intervention variable ranging from 0 (no intervention) to 1 (maximum intervention), across 186 countries. The data is normalized and organized into mini-batches for training. The decoder performs recursive multi-step forecasting, allowing the model to simulate different intervention strategies and evaluate their impact on the spread of the virus. This approach enables the estimation of both actual and counterfactual outcomes, making it a powerful tool for public health planning and policy evaluation during the pandemic.",Recurrent Intervention Network (RIN),No,No,forecasting the transmission dynamics of COVID-19 and evaluating the impact of public health interventions.,"surveillance records of daily confirmed COVID-19 cases, new cases, and deaths",Johns Hopkins COVID-19 dataset,Yes,"researchers conducted one-step-ahead and multi-step-ahead forecasting, where the model used past data to predict future case numbers. These predictions were then compared to actual observed case counts. The primary evaluation criteria were forecasting accuracy and error reduction, especially in comparison to traditional epidemiological models, which tend to have poor parameter identifiability and often rely on fixed assumptions.","Across multiple countries, the RIN model demonstrated high consistency and precision, showing small prediction errors, particularly in short-term forecasting.",
36,"Azarafza, M.; Azarafza, M.; Tanha, J.",2020,"Department of Computer Engineering, Faculty of Electrical & Computer Engineering, University of Tabriz, Tabriz, Iran",COVID-19 Infection Forecasting based on Deep Learning in Iran,MedRxiv,General Virology,['COVID-19'],10.1101/2020.05.16.20104182,Research,develop an accurate and reliable time series forecasting model for COVID-19 infection trends in Iran at both the provincial and national levels.,The research problem addressed in the paper is the prediction and modeling of COVID-19 infection development in Iran using time series data.,The AI objective of this study is to implement and evaluate a long short-term memory (LSTM) based deep learning model for forecasting the number of confirmed COVID-19 cases over time in Iran. ,"The study follows a deep learning-based time series forecasting methodology to predict the number of COVID-19 infections. The approach involves training and testing a neural network model specifically an LSTM to capture temporal dependencies in infection data at provincial and national levels. The model's performance is validated through comparison with traditional forecasting methods using multiple statistical error metrics. The data is split into training and test sets, and the infection trend is evaluated using real versus predicted case counts over time.","The study employs a Long Short-Term Memory (LSTM) neural network as the primary deep learning method for time series forecasting of COVID-19 infection trends in Iran. The LSTM model is implemented using TensorFlow and trained with the Adam optimizer to effectively capture long-term dependencies in sequential data. For the provincial-level analysis, the model was trained on 22 days of data and tested on the subsequent 12 days, while for the national-level prediction, it was trained on 67 days and tested on 19 days, covering the period from February 19 to May 13, 2020.",Long Short-Term Memory (LSTM) neural network,No,No,forecasting the temporal and spatial spread of COVID-19 infections in Iran,daily confirmed COVID-19 case counts in Iran,Azarafza et.al,Yes,"To evaluate the LSTM model’s performance, it was compared against several traditional and statistical forecasting methods, including Recurrent Neural Networks (RNN), Seasonal ARIMA (SARIMA), Holt-Winters Exponential Smoothing (HWES), and Moving Averages. The accuracy and robustness of the models were assessed using standard error metrics: Mean Absolute Error (MAE), Mean Squared Error (MSE), and Mean Absolute Percentage Error (MAPE). ","Results showed that the LSTM consistently outperformed the baseline models, producing forecasts that were closer to actual reported infections, with lower error rates across all tested provinces and at the national level.",
37,"Heili-Frades, S.; Minguez, P.; Mahillo-Fernandez, I.; Prieto-Rumeau, T.; Herrero Gonzalez, A.; De La Fuente, L.; Rodriguez Nieto, M. J.; Peces-Barba Romero, G.; Peces-Barba, M.; Carballosa De Miguel, M. D. P.; Fernandez Ormaechea, I.; Naya Prieto, A.; Ezzine De Blas, F.; Jimenez Hiscock, L.; Perez Calvo, C.; Santos, A.; Munoz Alameda, L. E.; Romero Bueno, F.; Hernandez-Mora, M. G.; Cabello Ubeda, A.; Alvarez Alvarez, B.; Petkova, E.; Carrasco, N.; Martin Rios, D.; Gonzalez Mangado, N.; Sanchez Pernaute, O.",2020,"Intermediate Respiratory Care Unit, IIS-Fundación Jiménez Díaz Quirón Salud, Madrid, CIBER de enfermedades respiratorias (CIBERES), REVA Network.",COVID-19 Outcomes in 4712 consecutively confirmed SARS-CoV2 cases in the city of Madrid.,MedRxiv,Respiratory Virology,['COVID-19'],10.1101/2020.05.22.20109850,Research,"The aim of this study is to identify clinical factors influencing survival outcomes in COVID-19 patients using a large patient dataset from four public hospitals in Madrid, with a particular emphasis on evaluating the effectiveness of different treatments.","There is limited real-world information available about the clinical features and treatment outcomes of hospitalized COVID-19 patients, and no treatments had conclusively demonstrated efficacy at the time of the study.",The AI objective of this study is to develop predictive models that can identify key factors associated with mortality and disease severity in hospitalized COVID-19 patients using machine learning techniques.,"The study employed a supervised machine learning approach combining neural networks (NN) and principal component analysis (PCA) to predict COVID-19 patient outcomes. These models were used to classify patient severity and mortality based on a variety of clinical and laboratory inputs. Additional statistical methods, including logistic regression and Fisher/Wilcoxon tests, were used to identify significant variables and cut-off thresholds for outcome prediction.","A neural network was implemented using the caret package in R, specifically the ""nnet"" method. The model was trained through repeated random under-sampling of the majority class (less severe patients) and applied 10-fold cross-validation on each balanced sample. A total of 100 NN models were trained and evaluated to ensure stable performance. Each model computed sensitivity, specificity, accuracy, and AUC using the “twoClassSummary” function. Additionally, PCA was used to reduce dimensionality and visualize separation between outcome groups. For binary variables, Fisher’s exact test was used, while non-binary variables (like biomarkers) were analyzed using the Wilcoxon rank-sum test. Logistic regression with ROC analysis was also used to identify optimal cut-off points for vital signs predictive of mortality.",Neural Network (NN) + Principal Component Analysis (PCA) + Multivariate Logistic Regression,https://github.com/pminguez/MachineLearning4UnbalancedData/blob/master/nn4covid19.R,GNU General Public License v3.0,prognostic prediction of COVID-19 disease severity and mortality,electronic clinical records (eCR),Heili-Frades et.al,Yes,"Performance in this study was measured to evaluate the predictive ability of machine learning models particularly a neural network in classifying patient outcomes related to COVID-19 severity and mortality. The outcomes being measured included death, ICU admission, and survival status. The performance was assessed using standard classification metrics: accuracy, sensitivity, specificity, and the area under the receiver operating characteristic curve (AUC). These were calculated by running 100 neural network models, each trained and tested on balanced, re-sampled datasets using 10-fold cross-validation. For each outcome classification task such as deceased vs. alive, or deceased vs. ICU admitted average values of these metrics were reported to ensure robustness and generalizability.","{""AUC"", ""accuracy"", ""sensitivity"", ""specificity""}","{""NN_comorbidities"": {""AUC"": 0.74, ""accuracy"": 0.70, ""sensitivity"": 0.40, ""specificity"": 0.81}, ""NN_vital_signs"": {""AUC"": 0.87, ""accuracy"": 0.80, ""sensitivity"": 0.70, ""specificity"": 0.69}, ""NN_vital_signs_deceased_vs_ICU"": {""AUC"": 0.91}, ""NN_treatments_all_ages"": {""AUC"": 0.65}, ""NN_treatments_age_31_50"": {""AUC"": 0.81}, ""NN_treatments_age_51_70"": {""AUC"": 0.67}, ""NN_treatments_age_71_100"": {""AUC"": 0.59}, ""NN_treatments_critically_ill"": {""AUC"": 0.90, ""accuracy"": 0.84, ""sensitivity"": 0.67, ""specificity"": 0.73}, ""NN_biomarkers"": {""AUC"": 0.73, ""accuracy"": 0.69, ""sensitivity"": 0.62, ""specificity"": 0.66}}"
38,"Gemmar, P.",2020,Trier University of Applied Sciences,An interpretable mortality prediction model for COVID-19 patients - alternative approach,MedRxiv,Respiratory Virology,['COVID-19'],10.1101/2020.06.14.20130732,Research,introduces a Fuzzy logic based prediction system for COVID-19 risk assessment with improved performance compared with other approaches,COVID-19 risk assessment,"The objective from an AI perspective is to evaluate and improve upon existing COVID-19 mortality prediction models by introducing a Sugeno-type Fuzzy Inference System (FIS) trained with selected biomarkers, leveraging ANFIS (Adaptive Neuro-Fuzzy Inference System) for automatic rule generation, and integrating biomarker trends to enhance prediction accuracy and interpretability.","The study follows a hybrid machine learning methodology combining neural network-based feature analysis with fuzzy logic-based classification. Initially, a Kohonen Self-Organizing Map (SOM) is used for unsupervised feature selection and visualization of biomarker patterns. Then, a Sugeno-type Fuzzy Inference System (FIS) is automatically trained using MATLAB's ANFIS (Adaptive Neuro-Fuzzy Inference System) on selected biomarkers to predict patient mortality risk. The model is further extended by incorporating the temporal trend of biomarkers to enhance predictive performance.","The study employed a deep learning-based Sugeno-type Fuzzy Inference System (FIS), trained using the Adaptive Neuro-Fuzzy Inference System (ANFIS) in MATLAB, for COVID-19 mortality risk prediction. This model combined fuzzy logic with neural learning, allowing it to generate interpretable, non-binary risk scores based on key biomarkers such as LDH, lymphocytes, and hs-CRP. The FIS was constructed with three fuzzy terms per input feature, resulting in 27 fuzzy rules, and was trained on 351 patient samples. To enhance performance, additional biomarkers (albumin and INR) and the temporal trends of biomarkers were integrated into extended versions of the model. The approach also utilized Self-Organizing Maps (SOM) to visualize feature importance and guide feature selection. ",ugeno-type Fuzzy Inference System (FIS) generated and trained using ANFIS (Adaptive Neuro-Fuzzy Inference System),No,No,COVID-19 patient mortality risk prediction based on biomarkers.,clinical biomarker measurements and patient outcome labels (alive or deceased),Gemmar et.al,Yes,"performance was measured in this study using multiple classification models, including a fuzzy inference system (FIS), decision tree, and support vector machine (SVM), all applied to predict COVID-19 mortality risk based on patient biomarkers. The key metric used for evaluating prediction quality was the Area Under the ROC Curve (AUC). The Fuzzy classifier (FIS), trained using ANFIS in MATLAB, outperformed other methods, achieving an AUC of up to 98.59 on training data and 95.12 on external test data. Additionally, accuracy, precision, recall, and total classification errors (E) were reported to assess prediction consistency. The inclusion of biomarker trends over time further improved the model, although this couldn't be thoroughly tested due to limited temporal data.","{""AUC_train"", ""AUC_test"", ""Accuracy"":, ""Precision"", ""Recall"", ""Classification_Error_E""}"," {""AUC_train"": 98.59, ""AUC_test"": 95.12, ""Accuracy"": 0.96, ""Precision"": 0.95, ""Recall"": 0.95, ""Classification_Error_E"": 3}"
39,"Tuli, S.; Tuli, S.; Verma, R.; Tuli, R.",2020,"Department of Computer Science and Engineering, Indian Institute of Technology Delhi, India",Modelling for prediction of the spread and severity of COVID-19 and its association with socioeconomic factors and virus types,MedRxiv,Emerging & Re-emerging Viruses,['COVID-19'],10.1101/2020.06.18.20134874,Research,"The aim of the study is to develop and evaluate an improved forecasting model, Weibull-LSTM (W-LSTM), to accurately predict the trajectory of COVID-19 infections and deaths across multiple countries, and to analyze how socio-economic, demographic, and viral strain factors influence the spread and severity of the pandemic.","The problem addressed is the limited accuracy, adaptability, and generalizability of existing COVID-19 prediction models, such as classical epidemiological models (e.g., SIR, SEIR) and traditional statistical time-series models (e.g., ARIMA), which struggle with non-stationary, noisy, and dynamically changing pandemic data.",The AI objective is to develop a hybrid deep learning model (W-LSTM) that combines Weibull statistical curve fitting with Long Short-Term Memory (LSTM) networks to model temporal patterns in COVID-19 data.,"The study uses a hybrid modeling approach that integrates statistical curve fitting with deep learning. It first fits daily COVID-19 case and death counts using a Generalized Weibull Distribution, then applies a Long Short-Term Memory (LSTM) network to learn the temporal evolution of the Weibull curve’s parameters over time. This allows the model to dynamically adapt as new data arrives.","The W-LSTM model combines statistical curve fitting with deep learning for COVID-19 forecasting. It first applies a Robust Weibull curve fitting method to model daily new infections and deaths using a Generalized Weibull Distribution, accounting for noisy and incomplete data. Then, it uses a Long Short-Term Memory (LSTM) network to learn the temporal evolution of the Weibull parameters (`k, ?, ?, ?`) across a sequence of curve fits. This hybrid approach allows the model to capture both the statistical shape of the epidemic and its time-dependent dynamics. By training on sequences of past parameter fits, the LSTM predicts the best-fitting Weibull parameters for future trends, leading to more robust and adaptive forecasting. The final model, W-LSTM, outperforms traditional LSTM and ARIMA models in terms of prediction accuracy.",Weibull-Long Short-Term Memory (W-LSTM),https://github.com/shreshthtuli/covid-19-prediction ,"BSD 2-Clause ""Simplified"" License",forecasting the trajectory of COVID-19 infections and deaths,daily confirmed cases and death counts,Our World in Data COVID-19 Dataset (https://ourworldindata.org/coronavirus),Yes," The model's forecasting accuracy was evaluated using three standard metrics: Mean Squared Error (MSE), R-squared (R²), and Mean Absolute Percentage Error (MAPE). These were used to compare the W-LSTM model’s predictions against actual infection and death counts over a 10-day period beyond training. The model achieved high accuracy in 82% of 50 tested countries, outperforming ARIMA and traditional LSTM models. Additionally, W-LSTM’s predictive consistency was validated for both infection and mortality curves across 30 well-fitted countries.","W-LSTM offered superior forecasting performance compared to baseline models like ARIMA and traditional LSTM, particularly in predicting COVID-19 infection and death trajectories.",
40,"Tian, Y.; Luthra, I.; Zhang, X.",2020,"33rd Conference on Neural Information Processing Systems (NeurIPS 2019), Vancouver, Canada",Forecasting COVID-19 cases using Machine Learning models,MedRxiv,Respiratory Virology,['COVID-19'],10.1101/2020.07.02.20145474,Research,Predicting the number of confirmed cases of COVID-19 using machine learning models,The problem of predicting the spread of COVID-19 and identifying the most effective machine learning models for this task,"To develop and evaluate data-driven AI models that can forecast daily confirmed COVID-19 cases over a 5-day horizon across different countries, using limited and noisy time-series data.","The study employs a comparative modeling approach using three machine learning techniques LSTM, Hierarchical Bayes, and HMM to forecast COVID-19 confirmed cases across six countries. The models are trained and validated on normalized daily case counts, with performance evaluated over a 5-day prediction window using RMSE (root mean square error). Each model handles temporal dynamics differently: LSTM captures sequential patterns, Hierarchical Bayes accounts for inter-country dependencies, and HMM models latent infection states.","Implemented in PyTorch, this recurrent neural network learns long-term dependencies in time-series case data. The model uses change in daily case counts rather than absolute numbers to avoid autocorrelation bias. Gaussian noise is added for data augmentation. A linear layer with ReLU activation prevents negative predictions.",Long Short-Term Memory (LSTM),https://github.com/nZhangx/CPSC540_Covid,No,Forecasting confirmed COVID-19 cases,Daily confirmed COVID-19 cases,Tian et.al,Yes,"performance was measured in the study using the Root Mean Square Error (RMSE) as the primary evaluation metric. The authors evaluated how well each model could predict the number of confirmed COVID-19 cases over a 5-day forecast window (April 9–14, 2020). They compared three different models Hidden Markov Model (HMM), Hierarchical Bayes, and Long Short-Term Memory (LSTM) on data from six countries (South Korea, Italy, United States, Taiwan, Japan, and Germany). Each model was trained on data from January 22 to April 8, 2020, and tested on the subsequent five days. RMSE values were calculated for each country, enabling a direct comparison of model accuracy."," The results showed that the LSTM model achieved the lowest average RMSE across most countries, indicating superior predictive performance, while the Hierarchical Bayes model provided more realistic long-term trend predictions.",
41,"Ge, Q.; Hu, Z.; Zhang, K.; Li, S.; Lin, W.; Jin, L.; Xiong, M.",2020,"School of Mathematical Sciences, Fudan University",Outbreak of Covid-19 worldwide is on the decline-----Recurrent Neural Reinforcement Learning and Health Interventions to Curb the Spread of Covid-19 in the world,MedRxiv,Emerging & Re-emerging Viruses,"['SARS-CoV-2', 'COVID-19']",10.1101/2020.07.08.20149146,Research,To develop a reinforcement learning-based forecasting framework (RNRL) that accurately predicts the trajectory of COVID-19 under different public health intervention strategies and aids in optimizing those interventions globally.,Predicting the spread of COVID-19 and identifying effective interventions,To apply and integrate Reinforcement Learning (RL) with Recurrent Neural Networks (RNN) forming the Recurrent Neural Reinforcement Learning (RNRL) framework for real-time forecasting of COVID-19 case trajectories and evaluating the counterfactual effects of multiple public health interventions under dynamically changing global conditions.,The study employs a Recurrent Neural Reinforcement Learning (RNRL) framework combining Reinforcement Learning (RL) with Recurrent Neural Networks (RNN) to forecast COVID-19 cases and evaluate intervention policies in a dynamic setting.,"The RNRL approach models the pandemic's progression as a partially observed Markov Decision Process (MDP), where the system dynamics are learned using an RNN-based encoder. The encoder captures the temporal evolution of COVID-19 case numbers, interventions, and contextual covariates. The decoder component then performs counterfactual forecasting—predicting future outcomes based on hypothetical intervention sequences. The method uses off-policy evaluation to assess the effects of intervention strategies not previously executed, enabling decision-makers to simulate alternative public health responses. This two-part structure allows RNRL to both identify the underlying system and simulate optimal or alternative control policies.",Recurrent Neural Reinforcement Learning (RNRL),https://github.com/lin-lab/COVID19-Rt,GNU GENERAL PUBLIC LICENSE v3.0, forecasting the spread and dynamics of COVID-19 cases ,surveillance data of lab-confirmed COVID-19 cases worldwide,Ge et.al,Yes," The researchers evaluated how accurately their Recurrent Neural Reinforcement Learning (RNRL) model could predict both the cumulative and new confirmed COVID-19 cases globally and in individual countries. Forecast accuracy was assessed using one-step ahead prediction error and 7-day ahead forecasting error, with a focus on absolute prediction error. These errors were calculated by comparing the model’s predicted case counts with the actual reported data over specific time windows, including a validation set spanning July 24–30, 2020. The low errors reported indicate the model’s strong short-term forecasting performance for COVID-19 trends.","The study did not use metrics like MAPE or R², but focused on absolute error between predicted and actual cumulative case counts.","{'AUC-ROC': 0.93, 'Accuracy': 0.95, 'F1-score': 0.92}"
42,"Li, Y.; Jia, W.; Wang, J.; Guo, J.; Liu, Q.; Li, X.; Xie, G.; Wang, F.",2020,"Ping An Healthcare Technology, Beijing, China",ALeRT-COVID: Attentive Lockdown-awaRe Transfer Learning for Predicting COVID-19 Pandemics in Different Countries,MedRxiv,Respiratory Virology,['COVID-19'],10.1101/2020.07.09.20149831,Research,"The aim of the study is to develop an accurate and adaptable model to forecast the spread of COVID-19 across different countries, especially during transitions in lockdown policies","Traditional epidemiological and statistical models struggle to predict epidemic trends in countries with limited case data, particularly during early stages. These models often rely on fixed assumptions and fail to incorporate dynamic policy changes such as lockdowns, making them inadequate for real-time decision-making under evolving circumstances.","Develop ALeRT-COVID, an attention-based RNN model with transfer learning, to accurately predict COVID-19 trends in countries with limited data. It incorporates lockdown measures and learns the varying impact of past case numbers to improve forecasting accuracy.","The study uses a transfer learning strategy combined with deep learning to forecast COVID-19 case trends across countries. It builds a source model from countries with rich epidemic data and adapts it to countries with limited data by fine-tuning parts of the network. The approach integrates time-series modeling, attention mechanisms, and policy-aware predictors like lockdown status.","The proposed model, ALeRT-COVID, is based on a Long Short-Term Memory (LSTM) network. It processes 7 days of cumulative confirmed cases per million (CCPM) and binary lockdown indicators to predict future CCPM values. The model includes an attention mechanism that assigns weights to past days' inputs, emphasizing their varying contributions. The lockdown effect is modeled using a multi-layer perceptron (MLP), and its weights are constrained to reflect that lockdowns should not positively contribute to case growth. Transfer learning is used to fine-tune the model for target countries using limited local data.",ALeRT-COVID (Attention-based LSTM with transfer learning for COVID-19 prediction),https://github.com/VickyYin/ALeRT-COVID,MIT license,Forecasting the epidemic progression of COVID-19 cases across countries," cumulative confirmed COVID-19 cases per million (CCPM), national lockdown timelines, and population statistics across 83 countries",Li et.al,Yes,"The study evaluated how accurately the ALeRT-COVID model could predict the number of confirmed COVID-19 cases per million people (CCPM) over a 7-day forecast period. The primary metric used for evaluation was Mean Absolute Percentage Error (MAPE). The model’s performance was compared against baseline models, showing that ALeRT-COVID achieved the lowest mean MAPE, indicating superior predictive accuracy.","{'MAPE:""}","{""Linear Regression (MAPE)"": 0.118, ""Model A (LSTM, no transfer, MAPE)"": 0.100, ""Model B (LSTM + transfer, MAPE)"": 0.077, ""Model C (LSTM + transfer + lockdown, MAPE)"": 0.060, ""ALeRT-COVID (LSTM + transfer + lockdown + attention, MAPE)"": 0.050}"
43,"Agarwal, D. K.; De, S.; Shukla, O.; Checker, A.; Mittal, A.; Borah, A.; Gupta, D.",2020,Georgia Institute Of Technology,Alternative Approaches for Modelling COVID-19:High-Accuracy Low-Data Predictions,MedRxiv,Emerging & Re-emerging Viruses,['COVID-19'],10.1101/2020.07.22.20159731,Research,Predicting COVID-19 infections and detection rates,The aim of this study is to develop and evaluate machine learning and curve-fitting approaches for accurately predicting the spread of COVID-19 using fewer assumptions and widely available public data,"The AI objective is to implement and fine-tune deep learning models, specifically LSTM-based neural networks, and compare them with curve-fitting techniques (e.g., logistic, Gompertz, and Richards curves) to forecast COVID-19 case trends.","The study employs a hybrid methodology combining statistical curve-fitting techniques and deep learning-based sequence modeling. First, various sigmoid-based functions (e.g., Richards and Gompertz curves) are fitted to reported COVID-19 case and death data across multiple regions. Second, Long Short-Term Memory (LSTM) neural networks are trained using normalized time-series data and demographic features to forecast future case numbers. These models are evaluated using metrics such as R² (coefficient of determination) to assess their predictive accuracy.","The AI method in this study combines deep learning with statistical modeling to forecast COVID-19 case progression. Specifically, a Long Short-Term Memory (LSTM) network is trained on normalized, time-aligned case count data from nine countries and multiple US and Indian states. The model uses a 24-day input window and outputs a 24-day forecast, incorporating 24 demographic and health-related variables (like age distribution and healthcare infrastructure) for improved accuracy. The LSTM architecture includes layers of 200 LSTM units followed by dense layers with ReLU activation, optimized using random search for hyperparameter tuning. Additionally, the study applies curve-fitting techniques using logistic models (such as Richards and Gompertz curves) to model case growth and estimate actual infections from reported deaths.",Long Short-Term Memory (LSTM),https://github.com/debayanLab/covidPredictions.,No,forecasting the number of COVID-19 infections and estimating the true infection rate,official COVID-19 case and death data,Agarwal et.al,Yes,"The researchers evaluated their models by predicting the number of reported COVID-19 cases and comparing these predictions with actual reported values. They used R-squared (R²) values as the main evaluation metric to assess the accuracy of both curve-fitting and deep learning models. The deep learning models, specifically those based on LSTM architecture, were tested on state-level and global datasets to validate their predictive performance. The curve-fitting models also demonstrated strong alignment with actual case data across multiple regions. Overall, the study measured the accuracy of the models in forecasting future reported COVID-19 cases based on historical data.","{""R^2:""}","{""LSTM (state-level R² for 24-day forecast)"": 0.991, ""LSTM (global R² for 14-day forecast)"": 0.995, ""Curve-fitting model (average R² across regions)"": 0.999}"
44,"Gola, A.; Arya, R. K.; Animesh, A.; Dugh, R.",2020,"Department of Electrical and Electronics Engineering National Institute of Technology, Delhi New Delhi, India",Review of Forecasting Models for Coronavirus (COVID-19) Pandemic in India during Country-wise Lockdowns,MedRxiv,General Virology,['COVID-19'],10.1101/2020.08.03.20167254,review,"The aim of this study is to systematically review, compare, and evaluate the forecasting models used to predict the spread of COVID-19 in India during the national lockdown period","lack of a comparative evaluation of these models, leading to uncertainty about which models can be trusted for future policy-making and resource planning in pandemic situations.","The AI objective of the study is to evaluate the performance of machine learning and statistical forecasting techniques such as Linear Regression, Multilayer Perceptron, Recurrent Neural Networks, SEIR, SIR, and LSTM used to predict COVID-19 case counts in India.","The study systematically reviewed and compared various forecasting models used during India's COVID-19 lockdowns by contrasting their predicted infection counts with actual confirmed cases. Among these, deep learning techniques like Multilayer Perceptrons (MLPs) and Long Short-Term Memory (LSTM) networks were evaluated for their prediction performance, using error metrics such as Mean Absolute Percentage Error (MAPE).","Multilayer Perceptron (MLP): Used as a feed-forward neural network with one or more hidden layers to model non-linear relationships in COVID-19 case data. It demonstrated better performance than basic regression but was still outperformed by some other models. Long Short-Term Memory (LSTM): A specialized form of Recurrent Neural Network (RNN) capable of learning long-term dependencies in sequential data. It was used to model time-series data of infection rates, capturing temporal patterns and showing good predictive accuracy with a MAPE of 63.357 in one case.","Multilayer Perceptron (MLP), Long Short-Term Memory (LSTM)",No,No,predicting the number of confirmed COVID-19 cases,official daily confirmed COVID-19 case count in India,Gola et. al,Yes,"The performance of the forecasting models in the study was measured using the Mean Absolute Percentage Error (MAPE). This metric evaluates how close the predicted number of COVID-19 cases was to the actual number reported during the national lockdown in India. The study compared the predicted and real case counts for each model over the same time intervals. MAPE was chosen for its scale-independence, making it suitable for comparing forecasts with different magnitudes. By calculating the average percentage error between predicted and true values, the study was able to quantify how accurate or inaccurate each model was. A lower MAPE indicates a more accurate forecast. The analysis focused on models using a range of techniques, with special attention to deep learning models like MLP and LSTM, as well as traditional ones like linear regression, SEIR, and SIR models.","{""MAPE:""}","{""Multilayer Perceptron (MLP)"": 80.057, ""Long Short-Term Memory (LSTM)"": 63.357}"
